Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-05-21_DayMaxProfit,2026-05-21_DayMaxLoss,2026-05-21_MaxProfit,2026-05-21_MaxLoss,2026-05-21_MaxDrawdown,2026-05-21_CurrentPnL,2026-05-22_DayMaxProfit,2026-05-22_DayMaxLoss,2026-05-22_MaxProfit,2026-05-22_MaxLoss,2026-05-22_MaxDrawdown,2026-05-22_CurrentPnL,2026-05-26_DayMaxProfit,2026-05-26_DayMaxLoss,2026-05-26_MaxProfit,2026-05-26_MaxLoss,2026-05-26_MaxDrawdown,2026-05-26_CurrentPnL,2026-05-27_DayMaxProfit,2026-05-27_DayMaxLoss,2026-05-27_MaxProfit,2026-05-27_MaxLoss,2026-05-27_MaxDrawdown,2026-05-27_CurrentPnL,2026-05-28_DayMaxProfit,2026-05-28_DayMaxLoss,2026-05-28_MaxProfit,2026-05-28_MaxLoss,2026-05-28_MaxDrawdown,2026-05-28_CurrentPnL,2026-05-29_DayMaxProfit,2026-05-29_DayMaxLoss,2026-05-29_MaxProfit,2026-05-29_MaxLoss,2026-05-29_MaxDrawdown,2026-05-29_CurrentPnL,2026-06-01_DayMaxProfit,2026-06-01_DayMaxLoss,2026-06-01_MaxProfit,2026-06-01_MaxLoss,2026-06-01_MaxDrawdown,2026-06-01_CurrentPnL,2026-06-02_DayMaxProfit,2026-06-02_DayMaxLoss,2026-06-02_MaxProfit,2026-06-02_MaxLoss,2026-06-02_MaxDrawdown,2026-06-02_CurrentPnL,2026-06-03_DayMaxProfit,2026-06-03_DayMaxLoss,2026-06-03_MaxProfit,2026-06-03_MaxLoss,2026-06-03_MaxDrawdown,2026-06-03_CurrentPnL,2026-06-04_DayMaxProfit,2026-06-04_DayMaxLoss,2026-06-04_MaxProfit,2026-06-04_MaxLoss,2026-06-04_MaxDrawdown,2026-06-04_CurrentPnL,2026-06-05_DayMaxProfit,2026-06-05_DayMaxLoss,2026-06-05_MaxProfit,2026-06-05_MaxLoss,2026-06-05_MaxDrawdown,2026-06-05_CurrentPnL,2026-06-08_DayMaxProfit,2026-06-08_DayMaxLoss,2026-06-08_MaxProfit,2026-06-08_MaxLoss,2026-06-08_MaxDrawdown,2026-06-08_CurrentPnL,2026-06-09_DayMaxProfit,2026-06-09_DayMaxLoss,2026-06-09_MaxProfit,2026-06-09_MaxLoss,2026-06-09_MaxDrawdown,2026-06-09_CurrentPnL,2026-06-10_DayMaxProfit,2026-06-10_DayMaxLoss,2026-06-10_MaxProfit,2026-06-10_MaxLoss,2026-06-10_MaxDrawdown,2026-06-10_CurrentPnL,2026-06-11_DayMaxProfit,2026-06-11_DayMaxLoss,2026-06-11_MaxProfit,2026-06-11_MaxLoss,2026-06-11_MaxDrawdown,2026-06-11_CurrentPnL,2026-06-12_DayMaxProfit,2026-06-12_DayMaxLoss,2026-06-12_MaxProfit,2026-06-12_MaxLoss,2026-06-12_MaxDrawdown,2026-06-12_CurrentPnL,2026-06-15_DayMaxProfit,2026-06-15_DayMaxLoss,2026-06-15_MaxProfit,2026-06-15_MaxLoss,2026-06-15_MaxDrawdown,2026-06-15_CurrentPnL,2026-06-16_DayMaxProfit,2026-06-16_DayMaxLoss,2026-06-16_MaxProfit,2026-06-16_MaxLoss,2026-06-16_MaxDrawdown,2026-06-16_CurrentPnL,2026-06-17_DayMaxProfit,2026-06-17_DayMaxLoss,2026-06-17_MaxProfit,2026-06-17_MaxLoss,2026-06-17_MaxDrawdown,2026-06-17_CurrentPnL,2026-06-18_DayMaxProfit,2026-06-18_DayMaxLoss,2026-06-18_MaxProfit,2026-06-18_MaxLoss,2026-06-18_MaxDrawdown,2026-06-18_CurrentPnL,2026-06-22_DayMaxProfit,2026-06-22_DayMaxLoss,2026-06-22_MaxProfit,2026-06-22_MaxLoss,2026-06-22_MaxDrawdown,2026-06-22_CurrentPnL,2026-06-23_DayMaxProfit,2026-06-23_DayMaxLoss,2026-06-23_MaxProfit,2026-06-23_MaxLoss,2026-06-23_MaxDrawdown,2026-06-23_CurrentPnL,2026-06-24_DayMaxProfit,2026-06-24_DayMaxLoss,2026-06-24_MaxProfit,2026-06-24_MaxLoss,2026-06-24_MaxDrawdown,2026-06-24_CurrentPnL,2026-06-25_DayMaxProfit,2026-06-25_DayMaxLoss,2026-06-25_MaxProfit,2026-06-25_MaxLoss,2026-06-25_MaxDrawdown,2026-06-25_CurrentPnL,2026-06-26_DayMaxProfit,2026-06-26_DayMaxLoss,2026-06-26_MaxProfit,2026-06-26_MaxLoss,2026-06-26_MaxDrawdown,2026-06-26_CurrentPnL,2026-06-29_DayMaxProfit,2026-06-29_DayMaxLoss,2026-06-29_MaxProfit,2026-06-29_MaxLoss,2026-06-29_MaxDrawdown,2026-06-29_CurrentPnL,2026-06-30_DayMaxProfit,2026-06-30_DayMaxLoss,2026-06-30_MaxProfit,2026-06-30_MaxLoss,2026-06-30_MaxDrawdown,2026-06-30_CurrentPnL,2026-07-01_DayMaxProfit,2026-07-01_DayMaxLoss,2026-07-01_MaxProfit,2026-07-01_MaxLoss,2026-07-01_MaxDrawdown,2026-07-01_CurrentPnL,2026-07-02_DayMaxProfit,2026-07-02_DayMaxLoss,2026-07-02_MaxProfit,2026-07-02_MaxLoss,2026-07-02_MaxDrawdown,2026-07-02_CurrentPnL,2026-07-06_DayMaxProfit,2026-07-06_DayMaxLoss,2026-07-06_MaxProfit,2026-07-06_MaxLoss,2026-07-06_MaxDrawdown,2026-07-06_CurrentPnL,2026-07-07_DayMaxProfit,2026-07-07_DayMaxLoss,2026-07-07_MaxProfit,2026-07-07_MaxLoss,2026-07-07_MaxDrawdown,2026-07-07_CurrentPnL,2026-07-08_DayMaxProfit,2026-07-08_DayMaxLoss,2026-07-08_MaxProfit,2026-07-08_MaxLoss,2026-07-08_MaxDrawdown,2026-07-08_CurrentPnL,2026-07-09_DayMaxProfit,2026-07-09_DayMaxLoss,2026-07-09_MaxProfit,2026-07-09_MaxLoss,2026-07-09_MaxDrawdown,2026-07-09_CurrentPnL,2026-07-10_DayMaxProfit,2026-07-10_DayMaxLoss,2026-07-10_MaxProfit,2026-07-10_MaxLoss,2026-07-10_MaxDrawdown,2026-07-10_CurrentPnL,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL
ADBE,Buy,253.37,277.74,Open,,,-2.14,-4.44,-2.14,-4.44,-4.44,-3.66,-1.42,-4.21,-1.42,-4.44,-4.44,-3.40,-3.87,-5.84,-1.42,-5.84,-5.84,-5.08,-3.60,-6.35,-1.42,-6.35,-6.35,-5.97,-3.40,-6.60,-1.42,-6.60,-6.60,-4.71,2.87,-3.44,2.87,-6.60,-6.60,2.30,8.71,3.52,8.71,-6.60,-6.60,8.15,7.36,2.64,8.71,-6.60,-6.60,3.45,2.62,-0.41,8.71,-6.60,-9.12,1.13,4.96,1.96,8.71,-6.60,-9.12,1.99,3.62,-1.71,8.71,-6.60,-10.42,-0.76,-1.04,-3.60,8.71,-6.60,-12.31,-3.31,-3.20,-7.91,8.71,-7.91,-16.62,-6.11,-5.86,-8.54,8.71,-8.54,-17.25,-7.89,-8.24,-13.92,8.71,-13.92,-22.63,-13.64,-18.83,-22.29,8.71,-22.29,-31.00,-19.48,-16.33,-18.81,8.71,-22.29,-31.00,-18.55,-16.80,-19.55,8.71,-22.29,-31.00,-18.17,-18.50,-23.03,8.71,-23.03,-31.74,-22.53,-22.33,-24.96,8.71,-24.96,-33.67,-22.97,-21.36,-24.54,8.71,-24.96,-33.67,-23.08,-20.85,-22.90,8.71,-24.96,-33.67,-22.08,-20.11,-23.00,8.71,-24.96,-33.67,-22.42,-21.34,-24.30,8.71,-24.96,-33.67,-23.66,-19.69,-22.92,8.71,-24.96,-33.67,-19.99,-17.30,-19.35,8.71,-24.96,-33.67,-18.53,-18.85,-20.55,8.71,-24.96,-33.67,-19.08,-15.67,-18.28,8.71,-24.96,-33.67,-16.73,-12.32,-15.64,8.71,-24.96,-33.67,-13.28,-13.27,-15.97,8.71,-24.96,-33.67,-13.93,-8.93,-13.06,8.71,-24.96,-33.67,-12.56,-12.18,-14.38,8.71,-24.96,-33.67,-12.80,-12.10,-15.90,8.71,-24.96,-33.67,-12.12,-9.86,-12.06,8.71,-24.96,-33.67,-11.73,-8.40,-11.20,8.71,-24.96,-33.67,-8.98,-11.51,-13.96,8.71,-24.96,-33.67,-12.86,-8.62,-12.02,8.71,-24.96,-33.67,-11.37,-7.06,-12.37,8.71,-24.96,-33.67,-7.13,-5.22,-8.29,8.71,-24.96,-33.67,-6.36,-6.60,-10.21,8.71,-24.96,-33.67,-7.35,-8.63,-12.26,8.71,-24.96,-33.67,-10.34,-9.36,-13.96,8.71,-24.96,-33.67,-13.82,-12.09,-16.77,8.71,-24.96,-33.67,-16.26,-10.44,-14.69,8.71,-24.96,-33.67,-11.15,-4.47,-9.31,8.71,-24.96,-33.67,-6.16,0.27,-4.61,8.71,-24.96,-33.67,-1.65,5.10,-1.91,8.71,-24.96,-33.67,3.97,0.76,-4.32,8.71,-24.96,-33.67,-2.16,-1.05,-4.79,8.71,-24.96,-33.67,-1.17
CVNA,Buy,64.91,73.99,TP Hit,73.99,2026-05-28,0.75,-3.05,0.75,-3.05,-3.81,-0.80,5.34,-0.39,5.34,-3.05,-5.72,5.19,13.23,7.44,13.23,-3.05,-5.79,8.07,13.93,7.97,13.93,-3.05,-5.96,12.46,13.99,9.54,13.99,-3.05,-5.96,13.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WMS,Buy,136.63,147.43,TP Hit,147.43,2026-06-18,1.52,-3.89,1.52,-3.89,-5.41,-1.08,-2.03,-6.29,1.52,-6.29,-7.81,-2.66,1.16,-1.89,1.52,-6.29,-7.81,1.07,5.13,2.22,5.13,-6.29,-7.81,2.72,2.76,0.31,5.13,-6.29,-7.81,2.50,3.25,1.75,5.13,-6.29,-7.81,1.85,1.08,-2.49,5.13,-6.29,-7.81,-0.72,0.72,-0.87,5.13,-6.29,-7.81,-0.71,-0.61,-3.48,5.13,-6.29,-8.61,-3.02,-2.96,-4.87,5.13,-6.29,-10.00,-3.97,-3.66,-5.34,5.13,-6.29,-10.47,-4.74,-3.21,-4.96,5.13,-6.29,-10.47,-4.48,-0.57,-3.71,5.13,-6.29,-10.47,-0.69,-0.45,-5.37,5.13,-6.29,-10.50,-5.22,-1.13,-4.45,5.13,-6.29,-10.50,-1.15,0.26,-1.59,5.13,-6.29,-10.50,-1.23,3.44,0.11,5.13,-6.29,-10.50,0.12,5.60,1.00,5.60,-6.29,-10.50,4.83,6.44,1.07,6.44,-6.29,-10.50,1.85,7.90,1.61,7.90,-6.29,-10.50,7.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITT,Buy,192.95,214.27,Open,,,0.20,-1.89,0.20,-1.89,-2.09,-0.15,1.77,-1.07,1.77,-1.89,-2.85,1.07,4.78,2.07,4.78,-1.89,-2.85,4.14,4.47,1.35,4.78,-1.89,-3.43,1.55,1.18,-1.23,4.78,-1.89,-6.01,0.21,1.58,-0.78,4.78,-1.89,-6.01,1.06,0.13,-2.84,4.78,-2.84,-7.62,-1.76,0.68,-1.48,4.78,-2.84,-7.62,0.62,2.21,0.45,4.78,-2.84,-7.62,0.58,0.66,-0.53,4.78,-2.84,-7.62,0.17,0.47,-1.13,4.78,-2.84,-7.62,-0.78,0.59,-1.26,4.78,-2.84,-7.62,-1.04,1.20,-2.65,4.78,-2.84,-7.62,-0.48,0.33,-4.54,4.78,-4.54,-9.32,-4.51,-2.85,-5.27,4.78,-5.27,-10.05,-4.12,-1.87,-3.85,4.78,-5.27,-10.05,-1.98,2.46,-0.22,4.78,-5.27,-10.05,1.16,2.73,0.28,4.78,-5.27,-10.05,0.59,2.04,-1.05,4.78,-5.27,-10.05,-0.97,2.45,0.30,4.78,-5.27,-10.05,2.00,3.47,1.15,4.78,-5.27,-10.05,3.25,2.16,-0.58,4.78,-5.27,-10.05,0.81,1.83,-1.35,4.78,-5.27,-10.05,0.86,4.60,1.06,4.78,-5.27,-10.05,3.70,2.62,-0.43,4.78,-5.27,-10.05,0.04,0.54,-1.97,4.78,-5.27,-10.05,-1.32,2.51,-2.01,4.78,-5.27,-10.05,2.49,1.62,-2.18,4.78,-5.27,-10.05,-2.13,-1.35,-4.60,4.78,-5.27,-10.05,-3.19,-1.01,-3.01,4.78,-5.27,-10.05,-1.49,-2.28,-5.70,4.78,-5.70,-10.48,-4.32,-3.20,-5.76,4.78,-5.76,-10.54,-3.95,1.11,-2.56,4.78,-5.76,-10.54,0.03,1.58,-0.94,4.78,-5.76,-10.54,1.06,1.98,-0.26,4.78,-5.76,-10.54,0.80,3.05,0.35,4.78,-5.76,-10.54,1.03,1.75,-1.18,4.78,-5.76,-10.54,0.63,1.76,-0.64,4.78,-5.76,-10.54,1.24,1.50,-1.63,4.78,-5.76,-10.54,-0.23,1.30,-1.59,4.78,-5.76,-10.54,-0.89,0.96,-1.53,4.78,-5.76,-10.54,-0.76,0.80,-1.22,4.78,-5.76,-10.54,0.03,1.57,-1.02,4.78,-5.76,-10.54,1.17,2.45,0.49,4.78,-5.76,-10.54,1.51,3.22,-0.32,4.78,-5.76,-10.54,2.51,3.62,0.37,4.78,-5.76,-10.54,3.13,2.46,-2.52,4.78,-5.76,-10.54,-1.11,1.06,-1.00,4.78,-5.76,-10.54,0.03,1.95,-0.72,4.78,-5.76,-10.54,1.57
LAD,Buy,271.11,275.45,TP Hit,275.45,2026-05-21,1.60,-2.33,1.60,-2.33,-3.94,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNF,Buy,73.52,83.02,TP Hit,83.02,2026-06-16,0.88,-3.10,0.88,-3.10,-3.99,0.18,1.39,-2.35,1.39,-3.10,-3.99,-1.80,2.05,-1.79,2.05,-3.10,-3.99,1.75,6.77,3.63,6.77,-3.10,-3.99,6.50,7.74,4.33,7.74,-3.10,-3.99,7.11,8.31,6.18,8.31,-3.10,-3.99,6.79,6.95,2.09,8.31,-3.10,-6.22,6.83,8.32,5.28,8.32,-3.10,-6.22,6.68,7.00,2.20,8.32,-3.10,-6.22,3.54,5.62,3.19,8.32,-3.10,-6.22,4.23,4.69,0.67,8.32,-3.10,-7.65,0.87,0.34,-2.05,8.32,-3.10,-10.37,-1.85,4.49,-0.57,8.32,-3.10,-10.37,3.77,5.33,-1.43,8.32,-3.10,-10.37,-1.37,3.82,-0.29,8.32,-3.10,-10.37,3.26,6.98,2.99,8.32,-3.10,-10.37,4.62,11.70,7.55,11.70,-3.10,-10.37,9.93,12.92,10.55,12.92,-3.10,-10.37,12.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFF,Buy,83.15,87.8,TP Hit,87.8,2026-05-27,2.36,-2.35,2.36,-2.35,-4.70,1.79,3.08,0.72,3.08,-2.35,-4.70,2.08,4.59,3.08,4.59,-2.35,-4.70,3.90,5.59,4.95,5.59,-2.35,-4.70,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPB,Buy,74.04,78.05,TP Hit,78.05,2026-05-22,2.08,-3.26,2.08,-3.26,-5.33,2.01,5.42,1.97,5.42,-3.26,-5.33,5.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTRI,Buy,29.51,32.45,TP Hit,32.45,2026-05-27,3.80,-0.75,3.80,-0.75,-4.54,2.27,4.03,0.41,4.03,-0.75,-4.54,2.34,7.83,4.00,7.83,-0.75,-4.54,6.13,9.96,4.95,9.96,-0.75,-5.02,9.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIN,Buy,74.25,75.37,TP Hit,75.98,2026-05-26,0.23,-1.97,0.23,-1.97,-2.20,-0.58,0.81,-0.61,0.81,-1.97,-2.20,0.74,2.33,2.33,2.33,-1.97,-2.20,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
