Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-06-16_DayMaxProfit,2026-06-16_DayMaxLoss,2026-06-16_MaxProfit,2026-06-16_MaxLoss,2026-06-16_MaxDrawdown,2026-06-16_CurrentPnL,2026-06-17_DayMaxProfit,2026-06-17_DayMaxLoss,2026-06-17_MaxProfit,2026-06-17_MaxLoss,2026-06-17_MaxDrawdown,2026-06-17_CurrentPnL,2026-06-18_DayMaxProfit,2026-06-18_DayMaxLoss,2026-06-18_MaxProfit,2026-06-18_MaxLoss,2026-06-18_MaxDrawdown,2026-06-18_CurrentPnL,2026-06-22_DayMaxProfit,2026-06-22_DayMaxLoss,2026-06-22_MaxProfit,2026-06-22_MaxLoss,2026-06-22_MaxDrawdown,2026-06-22_CurrentPnL,2026-06-23_DayMaxProfit,2026-06-23_DayMaxLoss,2026-06-23_MaxProfit,2026-06-23_MaxLoss,2026-06-23_MaxDrawdown,2026-06-23_CurrentPnL,2026-06-24_DayMaxProfit,2026-06-24_DayMaxLoss,2026-06-24_MaxProfit,2026-06-24_MaxLoss,2026-06-24_MaxDrawdown,2026-06-24_CurrentPnL,2026-06-25_DayMaxProfit,2026-06-25_DayMaxLoss,2026-06-25_MaxProfit,2026-06-25_MaxLoss,2026-06-25_MaxDrawdown,2026-06-25_CurrentPnL,2026-06-26_DayMaxProfit,2026-06-26_DayMaxLoss,2026-06-26_MaxProfit,2026-06-26_MaxLoss,2026-06-26_MaxDrawdown,2026-06-26_CurrentPnL,2026-06-29_DayMaxProfit,2026-06-29_DayMaxLoss,2026-06-29_MaxProfit,2026-06-29_MaxLoss,2026-06-29_MaxDrawdown,2026-06-29_CurrentPnL,2026-06-30_DayMaxProfit,2026-06-30_DayMaxLoss,2026-06-30_MaxProfit,2026-06-30_MaxLoss,2026-06-30_MaxDrawdown,2026-06-30_CurrentPnL,2026-07-01_DayMaxProfit,2026-07-01_DayMaxLoss,2026-07-01_MaxProfit,2026-07-01_MaxLoss,2026-07-01_MaxDrawdown,2026-07-01_CurrentPnL,2026-07-02_DayMaxProfit,2026-07-02_DayMaxLoss,2026-07-02_MaxProfit,2026-07-02_MaxLoss,2026-07-02_MaxDrawdown,2026-07-02_CurrentPnL,2026-07-06_DayMaxProfit,2026-07-06_DayMaxLoss,2026-07-06_MaxProfit,2026-07-06_MaxLoss,2026-07-06_MaxDrawdown,2026-07-06_CurrentPnL,2026-07-07_DayMaxProfit,2026-07-07_DayMaxLoss,2026-07-07_MaxProfit,2026-07-07_MaxLoss,2026-07-07_MaxDrawdown,2026-07-07_CurrentPnL,2026-07-08_DayMaxProfit,2026-07-08_DayMaxLoss,2026-07-08_MaxProfit,2026-07-08_MaxLoss,2026-07-08_MaxDrawdown,2026-07-08_CurrentPnL,2026-07-09_DayMaxProfit,2026-07-09_DayMaxLoss,2026-07-09_MaxProfit,2026-07-09_MaxLoss,2026-07-09_MaxDrawdown,2026-07-09_CurrentPnL,2026-07-10_DayMaxProfit,2026-07-10_DayMaxLoss,2026-07-10_MaxProfit,2026-07-10_MaxLoss,2026-07-10_MaxDrawdown,2026-07-10_CurrentPnL,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL
INTC,Sell,127.86,111.12316125488282,TP Hit,111.12316125488282,2026-07-07,9.28,-0.66,9.28,-0.66,-9.93,8.45,7.66,2.08,9.28,-0.66,-9.93,5.29,-0.03,-5.96,9.28,-5.96,-15.24,-4.79,-6.53,-10.63,9.28,-10.63,-19.91,-10.23,-0.34,-7.91,9.28,-10.63,-19.91,-3.46,-0.07,-6.43,9.28,-10.63,-19.91,-2.96,1.92,-10.06,9.28,-10.63,-19.91,-3.92,1.85,-2.64,9.28,-10.63,-19.91,-0.36,7.32,-3.28,9.28,-10.63,-19.91,-3.02,-2.86,-11.33,9.28,-11.33,-20.61,-9.21,0.92,-6.16,9.28,-11.33,-20.61,0.66,8.00,-2.25,9.28,-11.33,-20.61,5.87,4.96,0.44,9.28,-11.33,-20.61,4.43,13.09,8.91,13.09,-11.33,-20.61,13.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIX,Sell,1952.02,1757.3542319335938,TP Hit,1757.3542319335938,2026-07-02,1.95,-2.36,1.95,-2.36,-4.31,1.95,1.40,-1.30,1.95,-2.36,-4.31,1.04,0.87,-2.71,1.95,-2.71,-4.66,-0.79,-2.16,-6.16,1.95,-6.16,-8.11,-5.87,3.28,-1.98,3.28,-6.16,-8.11,2.25,3.12,-2.46,3.28,-6.16,-8.11,-0.13,-1.02,-4.48,3.28,-6.16,-8.11,-3.36,5.33,-0.26,5.33,-6.16,-8.11,5.01,5.23,-0.71,5.33,-6.16,-8.11,0.17,1.38,-2.40,5.33,-6.16,-8.11,-1.53,5.07,0.84,5.33,-6.16,-8.11,4.45,9.97,3.36,9.97,-6.16,-8.11,9.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCI,Sell,73.96,70.2532144977208,Open,,,0.03,-1.49,0.03,-1.49,-1.51,-0.84,2.06,-0.62,2.06,-1.49,-2.68,1.88,2.77,1.35,2.77,-1.49,-2.68,1.81,3.11,0.19,3.11,-1.49,-2.92,1.08,1.57,-0.34,3.11,-1.49,-3.45,0.08,0.72,-0.78,3.11,-1.49,-3.89,-0.11,2.24,-0.38,3.11,-1.49,-3.89,1.73,1.54,-2.93,3.11,-2.93,-6.04,-2.46,-1.49,-3.56,3.11,-3.56,-6.67,-3.49,-1.69,-3.68,3.11,-3.68,-6.79,-2.70,-3.23,-5.56,3.11,-5.56,-8.67,-3.77,-3.79,-6.30,3.11,-6.30,-9.41,-6.22,-3.93,-5.73,3.11,-6.30,-9.41,-5.16,-4.89,-7.37,3.11,-7.37,-10.48,-5.96,-3.57,-6.26,3.11,-7.37,-10.48,-3.79,-2.58,-3.95,3.11,-7.37,-10.48,-3.61,-3.30,-5.00,3.11,-7.37,-10.48,-4.75,-5.65,-7.98,3.11,-7.98,-11.09,-7.68,-5.95,-7.19,3.11,-7.98,-11.09,-6.58,-4.96,-7.61,3.11,-7.98,-11.09,-5.44,-6.06,-8.37,3.11,-8.37,-11.48,-7.72,-6.25,-9.53,3.11,-9.53,-12.64,-6.44,-4.75,-6.63,3.11,-9.53,-12.64,-5.46,-4.14,-5.54,3.11,-9.53,-12.64,-4.38,-4.26,-5.94,3.11,-9.53,-12.64,-4.58,-3.87,-7.90,3.11,-9.53,-12.64,-7.27,-6.77,-11.87,3.11,-11.87,-14.98,-11.32,-11.52,-13.52,3.11,-13.52,-16.63,-11.86,-12.43,-16.22,3.11,-16.22,-19.33,-14.90,-13.24,-15.97,3.11,-16.22,-19.33,-15.85,-14.99,-23.03,3.11,-23.03,-26.14,-15.32,-14.53,-17.27,3.11,-23.03,-26.14,-16.54
MOS,Sell,22.52,20.578799507141113,TP Hit,20.578799507141113,2026-07-09,4.31,-0.80,4.31,-0.80,-5.11,3.69,4.09,-1.07,4.31,-1.07,-5.38,0.04,-0.36,-3.82,4.31,-3.82,-8.13,-1.69,2.71,-0.98,4.31,-3.82,-8.13,2.31,6.44,3.29,6.44,-3.82,-8.13,5.64,7.42,4.62,7.42,-3.82,-8.13,7.37,6.39,2.89,7.42,-3.82,-8.13,3.51,3.60,-0.27,7.42,-3.82,-8.13,0.62,2.71,-0.22,7.42,-3.82,-8.13,0.36,7.50,3.29,7.50,-3.82,-8.13,5.91,6.57,2.98,7.50,-3.82,-8.13,5.42,6.84,4.17,7.50,-3.82,-8.13,6.17,7.55,4.84,7.55,-3.82,-8.13,5.95,8.13,4.57,8.13,-3.82,-8.13,6.22,8.57,5.20,8.57,-3.82,-8.13,8.30,8.62,6.66,8.62,-3.82,-8.13,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTZ,Sell,371.85,342.8201195068359,TP Hit,342.8201195068359,2026-07-16,0.86,-2.07,0.86,-2.07,-2.93,0.67,0.32,-2.56,0.86,-2.56,-3.42,-0.82,-0.29,-4.34,0.86,-4.34,-5.20,-2.10,-2.87,-9.42,0.86,-9.42,-10.28,-9.27,-0.90,-7.17,0.86,-9.42,-10.28,-5.00,-2.19,-6.98,0.86,-9.42,-10.28,-5.73,-6.05,-9.72,0.86,-9.72,-10.58,-8.53,-3.54,-9.52,0.86,-9.72,-10.58,-6.56,-5.50,-15.49,0.86,-15.49,-16.35,-15.39,-10.92,-15.55,0.86,-15.55,-16.41,-11.89,-3.05,-10.38,0.86,-15.55,-16.41,-5.05,1.45,-6.48,1.45,-15.55,-16.41,-0.42,-1.11,-4.88,1.45,-15.55,-16.41,-2.36,6.38,-0.02,6.38,-15.55,-16.41,3.50,1.39,-4.07,6.38,-15.55,-16.41,-2.97,-3.15,-8.91,6.38,-15.55,-16.41,-3.46,0.66,-3.26,6.38,-15.55,-16.41,-0.28,3.76,-0.34,6.38,-15.55,-16.41,3.13,2.89,-1.35,6.38,-15.55,-16.41,1.82,6.89,2.12,6.89,-15.55,-16.41,3.80,7.81,6.11,7.81,-15.55,-16.41,7.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTLB,Buy,28.31,32.09,TP Hit,32.09,2026-07-01,1.91,-2.65,1.91,-2.65,-4.56,-1.77,-1.75,-6.92,1.91,-6.92,-8.83,-6.50,-5.12,-9.82,1.91,-9.82,-11.73,-6.18,-4.70,-10.91,1.91,-10.91,-12.82,-8.76,-3.50,-8.76,1.91,-10.91,-12.82,-4.63,1.29,-4.87,1.91,-10.91,-12.82,-0.14,2.53,-3.41,2.53,-10.91,-12.82,-2.90,2.90,-1.45,2.90,-10.91,-12.82,2.68,7.42,3.81,7.42,-10.91,-12.82,5.44,8.07,2.97,8.07,-10.91,-12.82,7.84,13.35,9.68,13.35,-10.91,-12.82,13.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIO,Buy,289.28,309.29,TP Hit,309.29,2026-07-23,1.78,-0.12,1.78,-0.12,-1.90,0.23,1.32,-2.28,1.78,-2.28,-4.06,-1.59,-1.22,-3.04,1.78,-3.04,-4.82,-2.36,-2.54,-4.41,1.78,-4.41,-6.19,-2.82,-1.91,-6.57,1.78,-6.57,-8.35,-6.55,-1.81,-6.66,1.78,-6.66,-8.44,-3.19,4.31,-2.94,4.31,-6.66,-8.44,3.11,5.43,1.44,5.43,-6.66,-8.44,3.98,4.14,1.66,5.43,-6.66,-8.44,2.08,3.47,-0.46,5.43,-6.66,-8.44,1.50,3.55,1.31,5.43,-6.66,-8.44,2.70,4.59,2.27,5.43,-6.66,-8.44,2.62,3.30,0.57,5.43,-6.66,-8.44,2.03,3.24,0.25,5.43,-6.66,-8.44,1.11,0.42,-2.59,5.43,-6.66,-8.44,-1.87,3.08,-1.75,5.43,-6.66,-8.44,2.77,4.45,2.31,5.43,-6.66,-8.44,2.36,3.41,1.19,5.43,-6.66,-8.44,2.87,3.66,1.78,5.43,-6.66,-8.44,3.13,4.30,1.92,5.43,-6.66,-8.44,2.23,4.44,2.30,5.43,-6.66,-8.44,4.04,5.67,2.69,5.67,-6.66,-8.44,5.21,6.29,3.76,6.29,-6.66,-8.44,4.36,4.72,-1.34,6.29,-6.66,-8.44,4.29,6.16,3.27,6.29,-6.66,-8.44,5.77,6.92,6.63,6.92,-6.66,-8.44,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFUS,Sell,476.9,443.17172717285155,TP Hit,443.17172717285155,2026-06-29,1.69,-1.89,1.69,-1.89,-3.58,1.62,2.53,-1.05,2.53,-1.89,-3.58,2.19,0.50,-3.29,2.53,-3.29,-5.82,-0.61,0.50,-2.93,2.53,-3.29,-5.82,-2.56,3.59,-0.59,3.59,-3.29,-5.82,2.08,3.67,0.44,3.67,-3.29,-5.82,2.77,1.94,-1.70,3.67,-3.29,-5.82,-0.07,5.62,0.69,5.62,-3.29,-5.82,5.15,7.07,4.59,7.07,-3.29,-5.82,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNI,Sell,128.25,119.99755953912893,Open,,,-0.58,-2.15,-0.58,-2.15,-2.15,-2.11,-0.19,-3.00,-0.19,-3.00,-3.00,-0.66,-0.37,-1.70,-0.19,-3.00,-3.00,-1.63,-1.03,-2.70,-0.19,-3.00,-3.00,-1.15,-1.01,-2.53,-0.19,-3.00,-3.00,-1.01,-1.53,-4.23,-0.19,-4.23,-4.23,-3.85,-3.38,-5.43,-0.19,-5.43,-5.43,-4.16,-3.25,-4.95,-0.19,-5.43,-5.43,-4.80,-2.93,-5.24,-0.19,-5.43,-5.43,-3.64,-2.75,-4.48,-0.19,-5.43,-5.43,-3.96,-4.44,-6.07,-0.19,-6.07,-6.07,-5.01,-4.48,-6.13,-0.19,-6.13,-6.13,-5.47,-3.56,-5.67,-0.19,-6.13,-6.13,-4.73,-3.04,-5.08,-0.19,-6.13,-6.13,-3.51,-2.15,-3.59,-0.19,-6.13,-6.13,-2.78,-1.72,-4.15,-0.19,-6.13,-6.13,-3.32,-3.38,-4.35,-0.19,-6.13,-6.13,-4.10,-2.32,-5.50,-0.19,-6.13,-6.13,-2.83,-2.53,-3.78,-0.19,-6.13,-6.13,-2.82,-2.37,-3.95,-0.19,-6.13,-6.13,-2.70,-3.07,-5.75,-0.19,-6.13,-6.13,-5.50,-3.98,-5.93,-0.19,-6.13,-6.13,-4.70,-3.35,-5.79,-0.19,-6.13,-6.13,-4.52,-3.43,-5.12,-0.19,-6.13,-6.13,-3.84,-2.44,-4.34,-0.19,-6.13,-6.13,-3.39,-1.80,-2.88,-0.19,-6.13,-6.13,-2.61,-3.38,-4.99,-0.19,-6.13,-6.13,-3.98,-4.07,-5.26,-0.19,-6.13,-6.13,-4.41,-3.56,-6.79,-0.19,-6.79,-6.79,-6.78,-5.88,-7.65,-0.19,-7.65,-7.65,-7.63,-4.65,-8.14,-0.19,-8.14,-8.14,-5.80,-4.25,-6.66,-0.19,-8.14,-8.14,-5.94
BDC,Sell,114.72,104.41661145459578,TP Hit,104.41661145459578,2026-07-08,-0.95,-3.47,-0.95,-3.47,-3.47,-3.23,-3.12,-7.10,-0.95,-7.10,-7.10,-4.60,-7.00,-11.99,-0.95,-11.99,-11.99,-7.44,-5.65,-8.94,-0.95,-11.99,-11.99,-6.04,-2.17,-4.52,-0.95,-11.99,-11.99,-3.24,-2.06,-5.79,-0.95,-11.99,-11.99,-3.29,-4.68,-9.16,-0.95,-11.99,-11.99,-5.75,-2.15,-6.69,-0.95,-11.99,-11.99,-4.18,-0.82,-6.46,-0.82,-11.99,-11.99,-3.43,-3.23,-5.67,-0.82,-11.99,-11.99,-4.52,-1.23,-4.86,-0.82,-11.99,-11.99,-1.87,1.46,-6.23,1.46,-11.99,-11.99,-0.60,1.31,-2.41,1.46,-11.99,-11.99,1.29,6.99,2.15,6.99,-11.99,-11.99,6.37,8.98,5.48,8.98,-11.99,-11.99,8.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
