Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-07-07_DayMaxProfit,2026-07-07_DayMaxLoss,2026-07-07_MaxProfit,2026-07-07_MaxLoss,2026-07-07_MaxDrawdown,2026-07-07_CurrentPnL,2026-07-08_DayMaxProfit,2026-07-08_DayMaxLoss,2026-07-08_MaxProfit,2026-07-08_MaxLoss,2026-07-08_MaxDrawdown,2026-07-08_CurrentPnL,2026-07-09_DayMaxProfit,2026-07-09_DayMaxLoss,2026-07-09_MaxProfit,2026-07-09_MaxLoss,2026-07-09_MaxDrawdown,2026-07-09_CurrentPnL,2026-07-10_DayMaxProfit,2026-07-10_DayMaxLoss,2026-07-10_MaxProfit,2026-07-10_MaxLoss,2026-07-10_MaxDrawdown,2026-07-10_CurrentPnL,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL,2026-08-28_DayMaxProfit,2026-08-28_DayMaxLoss,2026-08-28_MaxProfit,2026-08-28_MaxLoss,2026-08-28_MaxDrawdown,2026-08-28_CurrentPnL,2026-08-31_DayMaxProfit,2026-08-31_DayMaxLoss,2026-08-31_MaxProfit,2026-08-31_MaxLoss,2026-08-31_MaxDrawdown,2026-08-31_CurrentPnL,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL,2026-09-02_DayMaxProfit,2026-09-02_DayMaxLoss,2026-09-02_MaxProfit,2026-09-02_MaxLoss,2026-09-02_MaxDrawdown,2026-09-02_CurrentPnL,2026-09-03_DayMaxProfit,2026-09-03_DayMaxLoss,2026-09-03_MaxProfit,2026-09-03_MaxLoss,2026-09-03_MaxDrawdown,2026-09-03_CurrentPnL
AMD,Buy,552.05,563.64,TP Hit,567.22,2026-07-14,-4.91,-8.87,-4.91,-8.87,-8.87,-6.51,-5.27,-9.76,-4.91,-9.76,-9.76,-6.27,1.35,-3.05,1.35,-9.76,-9.76,-0.97,1.49,-2.17,1.49,-9.76,-9.76,1.06,-0.03,-4.55,1.49,-9.76,-9.76,-3.20,2.75,2.75,2.75,-9.76,-9.76,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DELL,Buy,411.12,423.69,TP Hit,423.69,2026-07-07,3.06,-3.72,3.06,-3.72,-6.78,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STLD,Buy,227.07,251.17,TP Hit,251.17,2026-07-28,1.29,-1.53,1.29,-1.53,-2.82,1.12,2.17,-0.34,2.17,-1.53,-2.82,0.74,1.51,-2.44,2.17,-2.44,-4.61,-2.21,0.96,-2.21,2.17,-2.44,-4.61,0.59,4.43,0.93,4.43,-2.44,-4.61,3.11,5.10,1.77,5.10,-2.44,-4.61,2.77,4.35,1.56,5.10,-2.44,-4.61,3.74,4.72,2.82,5.10,-2.44,-4.61,3.48,4.08,1.13,5.10,-2.44,-4.61,3.72,4.54,0.75,5.10,-2.44,-4.61,1.51,5.69,2.15,5.69,-2.44,-4.61,2.84,6.38,3.47,6.38,-2.44,-4.61,5.10,8.53,4.90,8.53,-2.44,-4.61,5.95,9.08,5.35,9.08,-2.44,-4.61,8.83,10.47,7.84,10.47,-2.44,-4.61,10.22,10.61,10.10,10.61,-2.44,-4.61,10.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSLR,Buy,233.06,297.65,Open,,,2.06,-3.05,2.06,-3.05,-5.11,-2.29,-2.53,-5.98,2.06,-5.98,-8.04,-3.76,0.60,-2.46,2.06,-5.98,-8.04,-1.96,-0.03,-3.11,2.06,-5.98,-8.04,-2.24,-2.91,-6.81,2.06,-6.81,-8.87,-5.16,-1.66,-5.63,2.06,-6.81,-8.87,-5.35,-0.95,-5.82,2.06,-6.81,-8.87,-3.96,-5.19,-9.50,2.06,-9.50,-11.56,-9.07,-7.35,-12.57,2.06,-12.57,-14.63,-9.04,-7.64,-12.37,2.06,-12.57,-14.63,-11.91,-10.00,-12.55,2.06,-12.57,-14.63,-11.59,-8.74,-12.07,2.06,-12.57,-14.63,-10.38,-10.10,-12.51,2.06,-12.57,-14.63,-11.65,-11.24,-13.78,2.06,-13.78,-15.84,-12.98,-11.31,-14.56,2.06,-14.56,-16.62,-11.68,-12.58,-15.97,2.06,-15.97,-18.03,-13.07,-11.70,-15.32,2.06,-15.97,-18.03,-14.51,-11.29,-13.41,2.06,-15.97,-18.03,-11.61,-6.84,-11.44,2.06,-15.97,-18.03,-9.45,3.91,-8.37,3.91,-15.97,-18.03,-0.14,8.20,-1.29,8.20,-15.97,-18.03,4.54,4.63,-3.13,8.20,-15.97,-18.03,1.60,8.56,0.17,8.56,-15.97,-18.03,4.75,15.72,6.37,15.72,-15.97,-18.03,7.29,7.86,0.19,15.72,-15.97,-18.03,2.69,7.17,2.34,15.72,-15.97,-18.03,3.37,4.69,-3.52,15.72,-15.97,-19.24,-2.70,-2.18,-5.06,15.72,-15.97,-20.78,-4.02,-0.90,-3.99,15.72,-15.97,-20.78,-3.22,-2.86,-6.93,15.72,-15.97,-22.65,-6.53,-4.96,-6.89,15.72,-15.97,-22.65,-5.60,-3.89,-6.18,15.72,-15.97,-22.65,-4.57,-3.46,-8.60,15.72,-15.97,-24.32,-8.15,-5.00,-9.24,15.72,-15.97,-24.96,-8.06,-8.66,-10.70,15.72,-15.97,-26.42,-10.62,-9.04,-11.87,15.72,-15.97,-27.59,-11.26,-9.94,-12.38,15.72,-15.97,-28.10,-11.64,-8.52,-11.18,15.72,-15.97,-28.10,-9.85,-9.40,-13.28,15.72,-15.97,-29.00,-12.27,-11.94,-14.04,15.72,-15.97,-29.76,-13.13,-13.17,-14.78,15.72,-15.97,-30.50,-13.25,-12.32,-14.83,15.72,-15.97,-30.55,-14.35,-11.47,-13.44,15.72,-15.97,-30.55,-11.91
CELH,Sell,33.04,28.890719871520997,TP Hit,28.890719871520997,2026-07-17,4.42,-2.81,4.42,-2.81,-7.23,4.06,8.05,4.27,8.05,-2.81,-7.23,7.38,9.56,6.63,9.56,-2.81,-7.23,7.63,8.02,5.27,9.56,-2.81,-7.23,7.38,11.11,6.78,11.11,-2.81,-7.23,9.72,11.23,7.72,11.23,-2.81,-7.23,8.78,8.90,6.27,11.23,-2.81,-7.23,8.57,11.41,6.66,11.41,-2.81,-7.23,9.26,12.56,8.14,12.56,-2.81,-7.23,12.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHS,Sell,158.05,146.19278573827754,TP Hit,145,2026-07-14,-1.17,-2.58,-1.17,-2.58,-2.58,-2.03,3.81,-0.03,3.81,-2.58,-3.84,1.02,2.86,0.65,3.81,-2.58,-3.84,1.80,3.13,1.10,3.81,-2.58,-3.84,1.57,3.42,0.15,3.81,-2.58,-3.84,3.34,8.26,8.26,8.26,-2.58,-3.84,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSK,Buy,144.22,150.13,TP Hit,150.13,2026-07-22,-0.02,-3.20,-0.02,-3.20,-3.20,-1.66,-1.87,-4.22,-0.02,-4.22,-4.22,-2.97,0.03,-3.25,0.03,-4.22,-4.22,-1.01,2.27,-0.92,2.27,-4.22,-4.22,1.47,2.57,-0.73,2.57,-4.22,-4.22,1.13,3.12,-0.36,3.12,-4.22,-4.22,1.06,1.82,-1.12,3.12,-4.22,-4.24,0.92,3.39,-0.80,3.39,-4.22,-4.24,1.73,2.54,-0.98,3.39,-4.22,-4.37,-0.39,1.10,-2.11,3.39,-4.22,-5.50,-1.54,2.42,-2.40,3.39,-4.22,-5.79,1.51,4.10,1.58,4.10,-4.22,-5.79,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEA,Buy,133.69,137.98,TP Hit,137.98,2026-07-14,-0.14,-1.79,-0.14,-1.79,-1.79,-1.75,-2.17,-4.70,-0.14,-4.70,-4.70,-2.26,1.50,-1.70,1.50,-4.70,-4.70,0.80,2.91,1.17,2.91,-4.70,-4.70,1.83,2.88,1.19,2.91,-4.70,-4.70,1.20,3.21,0.68,3.21,-4.70,-4.70,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIEN,Buy,433.83,479.42,TP Hit,479.42,2026-07-09,-1.81,-6.78,-1.81,-6.78,-6.78,-3.44,1.92,-4.18,1.92,-6.78,-6.78,1.65,10.51,5.99,10.51,-6.78,-6.78,10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIZZ,Sell,29.23,28.780560921941518,Open,,,-9.89,-14.95,-9.89,-14.95,-14.95,-11.12,-11.19,-13.55,-9.89,-14.95,-14.95,-11.50,-8.07,-11.50,-8.07,-14.95,-14.95,-11.32,-11.29,-16.25,-8.07,-16.25,-16.25,-15.70,-2.67,-7.05,-2.67,-16.25,-16.25,-6.50,-5.06,-7.80,-2.67,-16.25,-16.25,-5.78,-5.06,-7.73,-2.67,-16.25,-16.25,-5.54,-5.85,-10.67,-2.67,-16.25,-16.25,-10.33,-5.30,-11.84,-2.67,-16.25,-16.25,-6.29,-5.30,-7.18,-2.67,-16.25,-16.25,-6.57,-4.07,-7.59,-2.67,-16.25,-16.25,-5.30,-6.33,-7.77,-2.67,-16.25,-16.25,-6.47,-2.87,-6.16,-2.67,-16.25,-16.25,-4.45,-4.07,-6.88,-2.67,-16.25,-16.25,-5.03,-5.10,-7.80,-2.67,-16.25,-16.25,-6.91,-7.83,-12.49,-2.67,-16.25,-16.25,-11.32,-10.30,-12.86,-2.67,-16.25,-16.25,-11.84,-8.31,-11.84,-2.67,-16.25,-16.25,-9.68,-7.56,-9.61,-2.67,-16.25,-16.25,-8.24,-6.29,-11.36,-2.67,-16.25,-16.25,-7.87,-6.50,-9.00,-2.67,-16.25,-16.25,-8.69,-8.28,-10.54,-2.67,-16.25,-16.25,-10.20,-7.90,-11.97,-2.67,-16.25,-16.25,-9.34,-8.48,-10.47,-2.67,-16.25,-16.25,-9.92,-5.78,-9.85,-2.67,-16.25,-16.25,-6.19,-4.76,-6.84,-2.67,-16.25,-16.25,-5.47,-3.93,-5.95,-2.67,-16.25,-16.25,-5.88,-6.33,-7.66,-2.67,-16.25,-16.25,-7.18,-5.75,-7.83,-2.67,-16.25,-16.25,-7.12,-4.05,-6.74,-2.67,-16.25,-16.25,-6.16,-6.53,-8.83,-2.67,-16.25,-16.25,-7.70,-7.08,-10.88,-2.67,-16.25,-16.25,-9.82,-7.25,-12.32,-2.67,-16.25,-16.25,-10.20,-7.83,-11.84,-2.67,-16.25,-16.25,-10.74,-11.32,-14.47,-2.67,-16.25,-16.25,-13.14,-11.43,-14.51,-2.67,-16.25,-16.25,-14.13,-12.59,-14.57,-2.67,-16.25,-16.25,-12.76,-9.37,-12.76,-2.67,-16.25,-16.25,-11.08,-10.50,-12.69,-2.67,-16.25,-16.25,-11.46,-9.25,-11.84,-2.67,-16.25,-16.25,-9.41,-8.62,-10.54,-2.67,-16.25,-16.25,-9.82,-7.92,-9.80,-2.67,-16.25,-16.25,-9.48,-8.73,-10.91,-2.67,-16.25,-16.25,-9.51
