Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-07-09_DayMaxProfit,2026-07-09_DayMaxLoss,2026-07-09_MaxProfit,2026-07-09_MaxLoss,2026-07-09_MaxDrawdown,2026-07-09_CurrentPnL,2026-07-10_DayMaxProfit,2026-07-10_DayMaxLoss,2026-07-10_MaxProfit,2026-07-10_MaxLoss,2026-07-10_MaxDrawdown,2026-07-10_CurrentPnL,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL
CRM,Sell,166.58,151.8966848754883,Open,,,6.06,1.67,6.06,1.67,-4.39,2.45,2.50,0.17,6.06,0.17,-5.89,1.96,0.40,-3.71,6.06,-3.71,-9.77,-2.79,3.07,-2.86,6.06,-3.71,-9.77,-0.59,0.01,-3.73,6.06,-3.73,-9.79,-0.25,-0.18,-4.78,6.06,-4.78,-10.84,-3.66,-1.90,-5.31,6.06,-5.31,-11.37,-2.52,0.05,-5.29,6.06,-5.31,-11.37,-4.33,-0.21,-3.51,6.06,-5.31,-11.37,-2.09,2.62,-1.79,6.06,-5.31,-11.37,2.15,6.86,0.42,6.86,-5.31,-11.37,5.79,4.22,1.28,6.86,-5.31,-11.37,1.75,-0.34,-6.23,6.86,-6.23,-13.09,-4.21,-6.20,-10.78,6.86,-10.78,-17.64,-8.96,-9.26,-14.17,6.86,-14.17,-21.03,-13.09,-5.59,-9.56,6.86,-14.17,-21.03,-8.48,-6.27,-10.73,6.86,-14.17,-21.03,-10.47,-11.60,-16.28,6.86,-16.28,-23.14,-11.63,-9.86,-14.83,6.86,-16.28,-23.14,-14.65,-14.32,-17.02,6.86,-17.02,-23.88,-15.85,-9.86,-12.27,6.86,-17.02,-23.88,-12.12,-14.42,-16.88,6.86,-17.02,-23.88,-15.70,-14.06,-18.97,6.86,-18.97,-25.83,-18.57,-17.36,-19.70,6.86,-19.70,-26.56,-18.54,-15.13,-17.96,6.86,-19.70,-26.56,-16.05,-14.89,-21.86,6.86,-21.86,-28.72,-20.88,-17.25,-22.70,6.86,-22.70,-29.56,-17.79,-14.01,-17.02,6.86,-22.70,-29.56,-14.64,-16.00,-19.71,6.86,-22.70,-29.56,-17.75,-16.59,-24.83,6.86,-24.83,-31.69,-23.72,-21.86,-24.79,6.86,-24.83,-31.69,-23.32,-22.90,-26.71,6.86,-26.71,-33.57,-25.57,-24.50,-27.97,6.86,-27.97,-34.83,-25.50,-22.92,-26.25,6.86,-27.97,-34.83,-23.48
INTC,Buy,110.24,122.25,Open,,,5.92,1.15,5.92,1.15,-4.77,2.09,0.55,-2.53,5.92,-2.53,-8.45,-0.36,-3.69,-7.67,5.92,-7.67,-13.59,-6.46,-0.95,-6.03,5.92,-7.67,-13.59,-2.25,-0.57,-10.01,5.92,-10.01,-15.93,-6.58,-7.58,-13.39,5.92,-13.39,-19.31,-12.03,-11.06,-18.73,5.92,-18.73,-24.65,-13.79,-8.40,-12.08,5.92,-18.73,-24.65,-11.96,-3.54,-8.18,5.92,-18.73,-24.65,-4.35,-3.08,-7.95,5.92,-18.73,-24.65,-6.91,-5.50,-9.98,5.92,-18.73,-24.65,-9.08,-7.71,-16.93,5.92,-18.73,-24.65,-16.26,-13.84,-21.14,5.92,-21.14,-27.06,-16.85,-19.92,-24.62,5.92,-24.62,-30.54,-21.72,-19.75,-25.81,5.92,-25.81,-31.73,-25.73,-14.64,-22.02,5.92,-25.81,-31.73,-17.33,-11.19,-18.24,5.92,-25.81,-31.73,-18.18,-16.84,-22.33,5.92,-25.81,-31.73,-17.45,-8.03,-14.44,5.92,-25.81,-31.73,-8.51,-6.72,-11.19,5.92,-25.81,-31.73,-8.33,-6.22,-13.28,5.92,-25.81,-31.73,-9.46,-5.97,-11.08,5.92,-25.81,-31.73,-7.79,-9.26,-12.65,5.92,-25.81,-31.73,-11.54,-10.79,-13.51,5.92,-25.81,-31.73,-11.37,-6.42,-9.18,5.92,-25.81,-31.73,-8.43,-2.42,-8.99,5.92,-25.81,-31.73,-5.15,-3.06,-7.43,5.92,-25.81,-31.73,-7.02,-3.89,-7.66,5.92,-25.81,-31.73,-6.12,-9.91,-13.60,5.92,-25.81,-31.73,-12.29,-10.92,-17.20,5.92,-25.81,-31.73,-15.82,-15.93,-18.50,5.92,-25.81,-31.73,-16.43,-15.85,-18.59,5.92,-25.81,-31.73,-18.30,-19.35,-22.77,5.92,-25.81,-31.73,-20.85,-18.20,-20.82,5.92,-25.81,-31.73,-20.65
APH,Buy,158.22,174.09,TP Hit,174.09,2026-08-05,4.22,1.97,4.22,1.97,-2.25,2.54,2.67,-0.68,4.22,-0.68,-4.90,0.53,1.37,-2.06,4.22,-2.06,-6.28,-1.41,1.11,-1.85,4.22,-2.06,-6.28,0.09,1.55,-2.58,4.22,-2.58,-6.80,-0.75,-0.77,-3.63,4.22,-3.63,-7.85,-3.21,-2.98,-7.70,4.22,-7.70,-11.92,-4.44,-2.17,-5.06,4.22,-7.70,-11.92,-4.87,-0.09,-3.38,4.22,-7.70,-11.92,-0.26,0.20,-2.91,4.22,-7.70,-11.92,-0.45,1.14,-1.33,4.22,-7.70,-11.92,-0.50,0.40,-4.38,4.22,-7.70,-11.92,-3.51,-1.72,-7.25,4.22,-7.70,-11.92,-5.65,-7.72,-11.72,4.22,-11.72,-15.94,-9.08,0.67,-5.56,4.22,-11.72,-15.94,-5.00,1.89,-2.21,4.22,-11.72,-15.94,1.01,5.69,1.03,5.69,-11.72,-15.94,1.57,3.75,-1.81,5.69,-11.72,-15.94,3.24,9.28,4.66,9.28,-11.72,-15.94,8.29,10.03,7.82,10.03,-11.72,-15.94,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCL,Buy,280.95,320.61,TP Hit,320.61,2026-07-28,3.52,0.65,3.52,0.65,-2.87,2.54,3.45,1.19,3.52,0.65,-2.87,1.57,6.69,1.41,6.69,0.65,-5.28,2.73,3.22,0.60,6.69,0.60,-6.09,0.76,5.69,0.92,6.69,0.60,-6.09,3.99,5.00,2.53,6.69,0.60,-6.09,4.63,4.20,1.49,6.69,0.60,-6.09,2.14,3.85,0.14,6.69,0.14,-6.55,1.85,2.96,1.10,6.69,0.14,-6.55,2.47,3.03,0.64,6.69,0.14,-6.55,1.74,1.99,-0.82,6.69,-0.82,-7.51,0.88,6.90,1.28,6.90,-0.82,-7.51,4.48,9.31,2.94,9.31,-0.82,-7.51,8.57,14.12,4.34,14.12,-0.82,-9.77,14.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLW,Buy,184.03,218.87,Open,,,11.11,4.41,11.11,4.41,-6.70,4.54,4.75,1.29,11.11,1.29,-9.82,3.73,2.74,-2.92,11.11,-2.92,-14.03,-0.50,5.26,1.10,11.11,-2.92,-14.03,1.96,1.65,-9.21,11.11,-9.21,-20.32,-5.23,-8.98,-16.08,11.11,-16.08,-27.19,-13.93,-13.94,-20.15,11.11,-20.15,-31.26,-15.99,-12.76,-17.08,11.11,-20.15,-31.26,-16.81,-10.61,-14.91,11.11,-20.15,-31.26,-11.75,-12.27,-16.38,11.11,-20.15,-31.26,-16.29,-12.53,-17.27,11.11,-20.15,-31.26,-15.20,-14.47,-20.70,11.11,-20.70,-31.81,-20.31,-19.20,-25.93,11.11,-25.93,-37.04,-22.10,-31.48,-37.78,11.11,-37.78,-48.89,-31.53,-28.89,-33.37,11.11,-37.78,-48.89,-32.59,-26.05,-29.36,11.11,-37.78,-48.89,-26.52,-20.12,-24.89,11.11,-37.78,-48.89,-24.88,-19.61,-27.79,11.11,-37.78,-48.89,-20.32,-11.70,-18.03,11.11,-37.78,-48.89,-13.12,-11.64,-15.31,11.11,-37.78,-48.89,-14.85,-10.70,-18.09,11.11,-37.78,-48.89,-14.59,-7.39,-12.43,11.11,-37.78,-48.89,-9.97,-8.77,-14.32,11.11,-37.78,-48.89,-14.27,-12.08,-14.02,11.11,-37.78,-48.89,-13.50,-7.65,-10.77,11.11,-37.78,-48.89,-9.01,-8.58,-14.19,11.11,-37.78,-48.89,-13.85,-8.88,-14.00,11.11,-37.78,-48.89,-9.80,-3.85,-9.42,11.11,-37.78,-48.89,-5.88,-8.68,-14.20,11.11,-37.78,-48.89,-13.11,-12.43,-18.11,11.11,-37.78,-48.89,-17.15,-16.29,-18.90,11.11,-37.78,-48.89,-17.70,-15.51,-19.55,11.11,-37.78,-48.89,-18.58,-20.45,-23.04,11.11,-37.78,-48.89,-20.91,-18.05,-20.53,11.11,-37.78,-48.89,-20.03
TER,Buy,351.57,418.61,TP Hit,418.61,2026-08-13,9.51,2.59,9.51,2.59,-6.92,3.18,3.12,-1.88,9.51,-1.88,-11.39,2.28,-0.85,-4.90,9.51,-4.90,-14.41,-2.98,3.82,-1.25,9.51,-4.90,-14.41,0.47,1.83,-7.52,9.51,-7.52,-17.03,-2.69,-4.60,-9.62,9.51,-9.62,-19.13,-8.33,-5.94,-15.57,9.51,-15.57,-25.08,-8.31,-0.10,-5.77,9.51,-15.57,-25.08,-5.07,7.86,1.26,9.51,-15.57,-25.08,6.39,7.05,2.63,9.51,-15.57,-25.08,5.09,7.66,3.16,9.51,-15.57,-25.08,6.31,5.63,-1.74,9.51,-15.57,-25.08,-0.47,1.05,-9.09,9.51,-15.57,-25.08,-4.78,-7.85,-14.38,9.51,-15.57,-25.08,-8.79,5.88,-9.21,9.51,-15.57,-25.08,-9.15,4.96,-2.01,9.51,-15.57,-25.08,3.96,11.50,3.03,11.50,-15.57,-25.08,4.59,5.36,-0.64,11.50,-15.57,-25.08,4.05,16.54,8.90,16.54,-15.57,-25.08,14.79,16.45,9.82,16.54,-15.57,-25.08,10.76,12.81,5.24,16.54,-15.57,-25.08,9.48,13.09,6.04,16.54,-15.57,-25.08,7.89,10.08,3.61,16.54,-15.57,-25.08,3.85,10.31,5.58,16.54,-15.57,-25.08,7.96,16.21,11.83,16.54,-15.57,-25.08,14.55,19.07,13.21,19.07,-15.57,-25.08,19.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALAB,Buy,393.16,469.51,Open,,,11.02,4.86,11.02,4.86,-6.16,6.18,7.19,2.15,11.02,2.15,-8.87,5.04,2.63,-10.95,11.02,-10.95,-21.97,-7.91,-0.24,-8.26,11.02,-10.95,-21.97,-7.98,-5.49,-14.54,11.02,-14.54,-25.56,-10.82,-13.79,-20.23,11.02,-20.23,-31.25,-18.67,-19.94,-26.34,11.02,-26.34,-37.36,-22.77,-17.93,-21.81,11.02,-26.34,-37.36,-21.38,-15.75,-20.17,11.02,-26.34,-37.36,-18.66,-13.81,-21.91,11.02,-26.34,-37.36,-15.84,-12.94,-18.94,11.02,-26.34,-37.36,-16.84,-18.73,-26.21,11.02,-26.34,-37.36,-25.84,-23.89,-31.90,11.02,-31.90,-42.92,-28.14,-31.67,-36.12,11.02,-36.12,-47.14,-33.81,-30.36,-37.78,11.02,-37.78,-48.80,-36.48,-23.67,-30.56,11.02,-37.78,-48.80,-23.77,-13.01,-22.42,11.02,-37.78,-48.80,-20.84,-15.94,-27.34,11.02,-37.78,-48.80,-18.34,-6.44,-13.52,11.02,-37.78,-48.80,-8.01,-9.45,-19.85,11.02,-37.78,-48.80,-19.01,-12.28,-21.66,11.02,-37.78,-48.80,-15.68,-10.75,-16.32,11.02,-37.78,-48.80,-15.00,-12.76,-19.43,11.02,-37.78,-48.80,-19.31,-17.51,-22.04,11.02,-37.78,-48.80,-20.65,-14.27,-19.07,11.02,-37.78,-48.80,-18.91,-15.33,-21.15,11.02,-37.78,-48.80,-17.90,-17.01,-20.74,11.02,-37.78,-48.80,-18.20,-9.96,-18.79,11.02,-37.78,-48.80,-18.56,-20.66,-25.47,11.02,-37.78,-48.80,-22.82,-21.56,-29.25,11.02,-37.78,-48.80,-26.49,-25.48,-28.34,11.02,-37.78,-48.80,-26.11,-24.49,-29.47,11.02,-37.78,-48.80,-27.52,-28.82,-32.26,11.02,-37.78,-48.80,-29.41,-26.34,-28.84,11.02,-37.78,-48.80,-28.11
EPAM,Sell,85.99,78.0655573425293,Open,,,4.99,-1.59,4.99,-1.59,-6.58,-1.51,3.33,-4.12,4.99,-4.12,-9.11,2.44,0.93,-3.20,4.99,-4.12,-9.11,-0.45,5.02,-0.37,5.02,-4.12,-9.11,1.73,0.78,-2.42,5.02,-4.12,-9.11,0.07,1.15,-3.98,5.02,-4.12,-9.11,-1.95,0.78,-3.91,5.02,-4.12,-9.11,-3.11,0.12,-5.28,5.02,-5.28,-10.30,-3.97,1.37,-5.22,5.02,-5.28,-10.30,-3.76,0.08,-4.66,5.02,-5.28,-10.30,-0.67,2.28,-0.58,5.02,-5.28,-10.30,-0.17,-1.37,-6.40,5.02,-6.40,-11.42,-4.49,-6.02,-9.83,5.02,-9.83,-14.85,-9.51,-13.04,-18.01,5.02,-18.01,-23.03,-16.76,-16.54,-26.77,5.02,-26.77,-31.79,-24.31,-16.07,-21.87,5.02,-26.77,-31.79,-20.55,-17.08,-23.71,5.02,-26.77,-31.79,-22.76,-20.27,-26.86,5.02,-26.86,-31.88,-24.74,-21.53,-31.40,5.02,-31.40,-36.42,-30.32,-26.24,-31.41,5.02,-31.41,-36.43,-27.77,-1.17,-15.12,5.02,-31.41,-36.43,-8.23,-8.31,-14.42,5.02,-31.41,-36.43,-13.30,-11.22,-14.87,5.02,-31.41,-36.43,-13.23,-12.26,-17.11,5.02,-31.41,-36.43,-16.18,-11.92,-16.89,5.02,-31.41,-36.43,-16.63,-14.61,-19.75,5.02,-31.41,-36.43,-18.10,-15.56,-19.35,5.02,-31.41,-36.43,-16.87,-14.62,-17.16,5.02,-31.41,-36.43,-14.82,-15.68,-20.21,5.02,-31.41,-36.43,-16.58,-16.07,-26.60,5.02,-31.41,-36.43,-24.86,-23.63,-28.33,5.02,-31.41,-36.43,-24.15,-22.17,-30.82,5.02,-31.41,-36.43,-28.32,-27.13,-30.58,5.02,-31.41,-36.43,-29.39,-26.61,-30.43,5.02,-31.41,-36.43,-30.07
VKTX,Sell,39.96,37.801559310913085,TP Hit,37.801559310913085,2026-07-13,1.90,-3.13,1.90,-3.13,-5.03,-2.95,4.45,-2.95,4.45,-3.13,-7.41,2.75,5.40,3.15,5.40,-3.13,-7.41,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMKR,Buy,66.91,79.03,Open,,,10.10,5.75,10.10,5.75,-4.35,7.85,7.04,4.04,10.10,4.04,-6.06,5.32,1.84,-2.21,10.10,-2.21,-12.31,-1.27,6.01,1.60,10.10,-2.21,-12.31,4.92,8.21,-3.86,10.10,-3.86,-13.96,1.09,-0.61,-7.04,10.10,-7.04,-17.14,-5.81,-4.96,-13.51,10.10,-13.51,-23.61,-5.93,-2.56,-7.41,10.10,-13.51,-23.61,-6.50,0.72,-3.24,10.10,-13.51,-23.61,-0.27,2.11,-3.96,10.10,-13.51,-23.61,0.09,0.91,-4.62,10.10,-13.51,-23.61,-2.36,6.86,-5.77,10.10,-13.51,-23.61,-2.91,-2.88,-12.49,10.10,-13.51,-23.61,-9.27,-22.13,-32.66,10.10,-32.66,-42.76,-31.71,-27.74,-36.24,10.10,-36.24,-46.34,-36.14,-27.01,-30.73,10.10,-36.24,-46.34,-27.87,-21.84,-26.47,10.10,-36.24,-46.34,-25.47,-23.79,-29.17,10.10,-36.24,-46.34,-24.02,-15.68,-20.77,10.10,-36.24,-46.34,-16.50,-15.29,-19.61,10.10,-36.24,-46.34,-19.50,-16.74,-23.49,10.10,-36.24,-46.34,-19.06,-14.78,-20.30,10.10,-36.24,-46.34,-17.40,-16.32,-21.07,10.10,-36.24,-46.34,-20.98,-18.61,-20.64,10.10,-36.24,-46.34,-18.85,-14.54,-17.02,10.10,-36.24,-46.34,-16.92,-12.45,-17.73,10.10,-36.24,-46.34,-13.69,-9.77,-14.26,10.10,-36.24,-46.34,-11.84,-6.99,-11.07,10.10,-36.24,-46.34,-8.38,-11.52,-19.56,10.10,-36.24,-46.34,-18.04,-17.07,-24.18,10.10,-36.24,-46.34,-23.94,-21.92,-25.03,10.10,-36.24,-46.34,-23.99,-22.63,-26.02,10.10,-36.24,-46.34,-24.88,-26.77,-29.70,10.10,-36.24,-46.34,-28.41,-25.89,-27.66,10.10,-36.24,-46.34,-27.22
