Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-07-10_DayMaxProfit,2026-07-10_DayMaxLoss,2026-07-10_MaxProfit,2026-07-10_MaxLoss,2026-07-10_MaxDrawdown,2026-07-10_CurrentPnL,2026-07-13_DayMaxProfit,2026-07-13_DayMaxLoss,2026-07-13_MaxProfit,2026-07-13_MaxLoss,2026-07-13_MaxDrawdown,2026-07-13_CurrentPnL,2026-07-14_DayMaxProfit,2026-07-14_DayMaxLoss,2026-07-14_MaxProfit,2026-07-14_MaxLoss,2026-07-14_MaxDrawdown,2026-07-14_CurrentPnL,2026-07-15_DayMaxProfit,2026-07-15_DayMaxLoss,2026-07-15_MaxProfit,2026-07-15_MaxLoss,2026-07-15_MaxDrawdown,2026-07-15_CurrentPnL,2026-07-16_DayMaxProfit,2026-07-16_DayMaxLoss,2026-07-16_MaxProfit,2026-07-16_MaxLoss,2026-07-16_MaxDrawdown,2026-07-16_CurrentPnL,2026-07-17_DayMaxProfit,2026-07-17_DayMaxLoss,2026-07-17_MaxProfit,2026-07-17_MaxLoss,2026-07-17_MaxDrawdown,2026-07-17_CurrentPnL,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL,2026-08-28_DayMaxProfit,2026-08-28_DayMaxLoss,2026-08-28_MaxProfit,2026-08-28_MaxLoss,2026-08-28_MaxDrawdown,2026-08-28_CurrentPnL
ANET,Sell,184.69,145.50692517089843,Open,,,1.19,-1.59,1.19,-1.59,-2.77,-1.23,2.27,-2.64,2.27,-2.64,-4.91,1.92,4.87,-0.49,4.87,-2.64,-5.37,1.15,9.85,-0.82,9.85,-2.64,-10.67,6.91,11.38,7.80,11.38,-2.64,-10.67,8.73,14.92,7.18,14.92,-2.64,-10.67,8.71,8.86,6.55,14.92,-2.64,-10.67,8.31,6.82,3.69,14.92,-2.64,-11.23,5.47,7.95,4.48,14.92,-2.64,-11.23,5.32,6.45,2.82,14.92,-2.64,-12.10,4.37,7.46,3.89,14.92,-2.64,-12.10,5.79,10.17,4.31,14.92,-2.64,-12.10,7.54,13.76,7.97,14.92,-2.64,-12.10,8.11,15.08,8.32,15.08,-2.64,-12.10,14.47,10.94,7.14,15.08,-2.64,-12.10,7.40,4.87,0.63,15.08,-2.64,-14.45,2.35,6.09,-1.02,15.08,-2.64,-16.10,-0.11,-1.26,-5.23,15.08,-5.23,-20.31,-3.15,-3.42,-16.35,15.08,-16.35,-31.43,-6.83,-2.57,-6.72,15.08,-16.35,-31.43,-4.13,-1.52,-7.21,15.08,-16.35,-31.43,-2.15,-1.27,-5.96,15.08,-16.35,-31.43,-3.70,-3.13,-7.70,15.08,-16.35,-31.43,-7.13,-10.33,-14.49,15.08,-16.35,-31.43,-13.97,-10.21,-13.76,15.08,-16.35,-31.43,-10.25,-7.34,-11.14,15.08,-16.35,-31.43,-7.65,-7.39,-9.52,15.08,-16.35,-31.43,-9.26,-2.70,-7.20,15.08,-16.35,-31.43,-4.60,0.10,-5.85,15.08,-16.35,-31.43,-0.95,1.01,-1.40,15.08,-16.35,-31.43,0.51,0.60,-3.11,15.08,-16.35,-31.43,-2.14,-0.71,-3.01,15.08,-16.35,-31.43,-1.87,-1.82,-4.58,15.08,-16.35,-31.43,-3.38,-3.37,-10.11,15.08,-16.35,-31.43,-9.51,-7.86,-11.61,15.08,-16.35,-31.43,-8.88,-5.37,-8.29,15.08,-16.35,-31.43,-5.79
MCK,Sell,792.81,759.9798407311669,Open,,,0.21,-1.73,0.21,-1.73,-1.93,-1.66,-1.69,-3.73,0.21,-3.73,-3.94,-2.46,0.28,-2.54,0.28,-3.73,-3.94,-1.33,-0.10,-2.34,0.28,-3.73,-3.94,-0.45,-1.43,-6.43,0.28,-6.43,-6.71,-6.12,-5.94,-8.60,0.28,-8.60,-8.88,-6.13,-4.08,-5.86,0.28,-8.60,-8.88,-4.88,-3.49,-4.81,0.28,-8.60,-8.88,-4.54,-1.99,-5.95,0.28,-8.60,-8.88,-2.68,-2.16,-4.06,0.28,-8.60,-8.88,-4.00,-4.37,-6.40,0.28,-8.60,-8.88,-6.07,-5.56,-8.04,0.28,-8.60,-8.88,-7.22,-9.17,-12.78,0.28,-12.78,-13.06,-12.20,-11.96,-14.40,0.28,-14.40,-14.68,-12.08,-8.81,-10.64,0.28,-14.40,-14.68,-9.17,-6.42,-8.92,0.28,-14.40,-14.68,-7.99,-3.76,-8.86,0.28,-14.40,-14.68,-4.33,-2.28,-5.44,0.28,-14.40,-14.68,-4.75,-6.00,-10.93,0.28,-14.40,-14.68,-10.65,-5.95,-15.10,0.28,-15.10,-15.38,-9.91,-9.02,-12.22,0.28,-15.10,-15.38,-9.68,-9.80,-12.86,0.28,-15.10,-15.38,-10.98,-10.66,-13.78,0.28,-15.10,-15.38,-13.74,-10.16,-13.77,0.28,-15.10,-15.38,-10.84,-8.06,-10.42,0.28,-15.10,-15.38,-8.06,-7.59,-9.71,0.28,-15.10,-15.38,-9.61,-7.96,-10.91,0.28,-15.10,-15.38,-8.46,-9.44,-11.77,0.28,-15.10,-15.38,-9.64,-7.21,-9.73,0.28,-15.10,-15.38,-7.68,-5.79,-8.31,0.28,-15.10,-15.38,-5.79,-5.68,-9.47,0.28,-15.10,-15.38,-8.34,-8.44,-10.45,0.28,-15.10,-15.38,-10.21,-9.66,-14.23,0.28,-15.10,-15.38,-14.16,-12.51,-15.79,0.28,-15.79,-16.07,-13.10,-11.09,-12.49,0.28,-15.79,-16.07,-12.32,-12.36,-13.55,0.28,-15.79,-16.07,-12.69
RKT,Buy,14.56,15.61,Open,,,1.37,-2.20,1.37,-2.20,-3.57,-1.17,-1.06,-5.05,1.37,-5.05,-6.42,-4.46,1.03,-2.13,1.37,-5.05,-6.42,-1.79,4.26,-0.45,4.26,-5.05,-6.42,0.27,5.36,0.14,5.36,-5.05,-6.42,2.34,2.68,-0.65,5.36,-5.05,-6.42,-0.14,1.44,-5.22,5.36,-5.22,-10.58,-3.91,-3.43,-6.39,5.36,-6.39,-11.75,-6.25,-6.39,-7.86,5.36,-7.86,-13.22,-7.69,-10.34,-13.67,5.36,-13.67,-19.03,-12.23,-8.59,-13.43,5.36,-13.67,-19.03,-10.37,-6.46,-8.86,5.36,-13.67,-19.03,-7.35,-3.85,-9.34,5.36,-13.67,-19.03,-3.98,0.07,-7.42,5.36,-13.67,-19.03,-5.91,-4.53,-13.26,5.36,-13.67,-19.03,-8.93,-8.62,-12.33,5.36,-13.67,-19.03,-11.40,-5.36,-9.00,5.36,-13.67,-19.03,-6.04,-1.17,-4.53,5.36,-13.67,-19.03,-3.09,-1.96,-5.67,5.36,-13.67,-19.03,-4.81,-7.14,-10.61,5.36,-13.67,-19.03,-9.20,-1.92,-9.82,5.36,-13.67,-19.03,-5.77,-3.85,-8.72,5.36,-13.67,-19.03,-5.49,-1.20,-6.35,5.36,-13.67,-19.03,-1.65,0.62,-5.56,5.36,-13.67,-19.03,-3.50,4.26,-2.06,5.36,-13.67,-19.03,3.30,3.64,0.69,5.36,-13.67,-19.03,1.37,1.61,-1.79,5.36,-13.67,-19.03,-0.41,-1.65,-4.02,5.36,-13.67,-19.03,-3.91,3.64,-0.20,5.36,-13.67,-19.03,0.48,-0.55,-4.53,5.36,-13.67,-19.03,-3.43,-2.13,-5.77,5.36,-13.67,-19.03,-4.33,-3.09,-5.22,5.36,-13.67,-19.03,-3.23,-1.10,-4.77,5.36,-13.67,-19.03,-1.79,-1.85,-5.22,5.36,-13.67,-19.03,-4.53,-1.68,-5.36,5.36,-13.67,-19.03,-2.20,-0.11,-5.49,5.36,-13.67,-19.03,-5.43
TREX,Buy,46.76,49.02,TP Hit,49.02,2026-08-05,2.78,0.43,2.78,0.43,-2.35,0.86,1.73,-2.59,2.78,-2.59,-5.37,-1.84,4.43,-7.27,4.43,-7.27,-11.70,-5.54,-2.63,-7.38,4.43,-7.38,-11.81,-6.72,-1.90,-8.00,4.43,-8.00,-12.43,-2.03,-0.56,-4.49,4.43,-8.00,-12.43,-3.49,-2.99,-8.43,4.43,-8.43,-12.86,-7.66,-7.38,-10.29,4.43,-10.29,-14.72,-8.23,-6.82,-8.79,4.43,-10.29,-14.72,-8.49,-8.21,-10.82,4.43,-10.82,-15.25,-9.37,-4.34,-9.92,4.43,-10.82,-15.25,-7.12,-4.28,-8.02,4.43,-10.82,-15.25,-5.90,-2.22,-6.74,4.43,-10.82,-15.25,-5.86,-5.75,-10.67,4.43,-10.82,-15.25,-9.35,-5.73,-9.35,4.43,-10.82,-15.25,-6.05,-4.66,-8.66,4.43,-10.82,-15.25,-7.27,-2.67,-5.95,4.43,-10.82,-15.25,-4.13,3.49,-6.37,4.43,-10.82,-15.25,0.56,4.83,-0.41,4.83,-10.82,-15.25,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W,Buy,90.29,93.23,TP Hit,93.23,2026-07-15,2.04,-2.53,2.04,-2.53,-4.57,-1.17,-0.92,-6.00,2.04,-6.00,-8.04,-4.34,-0.11,-2.90,2.04,-6.00,-8.04,-1.72,3.26,-1.76,3.26,-6.00,-8.04,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFM,Buy,80.38,88.24,TP Hit,88.24,2026-07-30,3.20,-0.09,3.20,-0.09,-3.28,0.60,2.49,-1.26,3.20,-1.26,-4.46,-0.88,0.14,-7.18,3.20,-7.18,-10.38,-6.26,-4.73,-9.08,3.20,-9.08,-12.28,-8.81,-6.93,-10.19,3.20,-10.19,-13.39,-8.35,-3.56,-7.59,3.20,-10.19,-13.39,-5.72,-5.11,-8.02,3.20,-10.19,-13.39,-7.18,-7.02,-11.12,3.20,-11.12,-14.32,-7.08,-5.59,-10.51,3.20,-11.12,-14.32,-8.01,-8.47,-12.91,3.20,-12.91,-16.11,-8.57,-6.57,-9.75,3.20,-12.91,-16.11,-6.83,-3.37,-7.59,3.20,-12.91,-16.11,-4.40,-1.43,-4.53,3.20,-12.91,-16.11,-3.25,0.36,-3.65,3.20,-12.91,-16.11,-1.52,9.78,7.30,9.78,-12.91,-16.11,9.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBP,Buy,220.0,227.86,TP Hit,227.86,2026-07-10,3.57,0.68,3.57,0.68,-2.90,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALK,Buy,50.14,52.73,TP Hit,52.73,2026-08-05,1.42,-3.05,1.42,-3.05,-4.47,-1.44,-1.28,-7.10,1.42,-7.10,-8.52,-6.66,-4.81,-8.06,1.42,-8.06,-9.48,-6.52,-3.39,-7.10,1.42,-8.06,-9.48,-4.51,-2.01,-6.12,1.42,-8.06,-9.48,-5.03,-7.06,-9.97,1.42,-9.97,-11.39,-9.23,-6.80,-9.97,1.42,-9.97,-11.39,-8.18,-6.70,-9.61,1.42,-9.97,-11.39,-9.33,-11.45,-17.33,1.42,-17.33,-18.75,-11.53,-10.59,-15.78,1.42,-17.33,-18.75,-10.75,-5.74,-11.61,1.42,-17.33,-18.75,-8.00,-3.77,-7.58,1.42,-17.33,-18.75,-5.27,-0.80,-6.28,1.42,-17.33,-18.75,-3.05,-5.35,-8.72,1.42,-17.33,-18.75,-8.58,-5.44,-8.26,1.42,-17.33,-18.75,-5.78,-4.45,-6.64,1.42,-17.33,-18.75,-5.36,1.26,-2.47,1.42,-17.33,-18.75,0.14,5.17,1.62,5.17,-17.33,-18.75,4.81,5.17,3.55,5.17,-17.33,-18.75,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCC,Buy,72.24,79.32,TP Hit,79.32,2026-07-16,7.18,-0.26,7.18,-0.26,-7.45,5.29,6.91,2.76,7.18,-0.26,-7.45,3.43,5.38,-1.02,7.18,-1.02,-8.20,2.56,8.25,2.63,8.25,-1.02,-8.20,5.19,9.80,5.76,9.80,-1.02,-8.20,9.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,Buy,54.75,61.05,Open,,,5.99,-0.24,5.99,-0.24,-6.23,5.84,8.13,-0.07,8.13,-0.24,-8.20,1.02,2.03,-1.66,8.13,-1.66,-9.79,1.21,2.92,-4.99,8.13,-4.99,-13.12,-4.86,-0.11,-5.72,8.13,-5.72,-13.85,-2.96,0.33,-4.64,8.13,-5.72,-13.85,-2.90,-2.23,-6.96,8.13,-6.96,-15.09,-4.95,1.92,-2.10,8.13,-6.96,-15.09,1.63,6.08,0.66,8.13,-6.96,-15.09,1.35,0.99,-3.62,8.13,-6.96,-15.09,-2.43,2.36,-3.58,8.13,-6.96,-15.09,1.92,6.59,1.21,8.13,-6.96,-15.09,5.44,8.77,4.46,8.77,-6.96,-15.09,7.21,8.66,4.22,8.77,-6.96,-15.09,6.72,6.12,0.26,8.77,-6.96,-15.09,2.63,3.21,0.47,8.77,-6.96,-15.09,1.44,4.88,0.38,8.77,-6.96,-15.09,1.70,7.67,1.00,8.77,-6.96,-15.09,7.45,10.10,6.72,10.10,-6.96,-15.09,8.82,8.22,5.26,10.10,-6.96,-15.09,5.79,6.05,4.11,10.10,-6.96,-15.09,5.57,4.91,0.26,10.10,-6.96,-15.09,1.79,2.89,-3.85,10.10,-6.96,-15.09,-3.29,-1.59,-5.08,10.10,-6.96,-15.18,-2.25,6.16,-0.80,10.10,-6.96,-15.18,4.77,4.00,1.41,10.10,-6.96,-15.18,3.29,4.86,0.88,10.10,-6.96,-15.18,3.60,8.27,3.38,10.10,-6.96,-15.18,4.04,7.63,2.26,10.10,-6.96,-15.18,2.61,-13.48,-25.74,10.10,-25.74,-35.84,-22.58,-20.09,-23.29,10.10,-25.74,-35.84,-22.23,-18.43,-22.34,10.10,-25.74,-35.84,-20.31,-18.48,-21.19,10.10,-25.74,-35.84,-20.29,-19.21,-21.86,10.10,-25.74,-35.84,-19.54,-20.23,-21.70,10.10,-25.74,-35.84,-20.24,-19.58,-22.06,10.10,-25.74,-35.84,-21.64
