Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-07-20_DayMaxProfit,2026-07-20_DayMaxLoss,2026-07-20_MaxProfit,2026-07-20_MaxLoss,2026-07-20_MaxDrawdown,2026-07-20_CurrentPnL,2026-07-21_DayMaxProfit,2026-07-21_DayMaxLoss,2026-07-21_MaxProfit,2026-07-21_MaxLoss,2026-07-21_MaxDrawdown,2026-07-21_CurrentPnL,2026-07-22_DayMaxProfit,2026-07-22_DayMaxLoss,2026-07-22_MaxProfit,2026-07-22_MaxLoss,2026-07-22_MaxDrawdown,2026-07-22_CurrentPnL,2026-07-23_DayMaxProfit,2026-07-23_DayMaxLoss,2026-07-23_MaxProfit,2026-07-23_MaxLoss,2026-07-23_MaxDrawdown,2026-07-23_CurrentPnL,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL
VZ,Sell,43.59,41.80628616731111,Open,,,1.03,-0.16,1.03,-0.16,-1.19,0.21,1.61,-0.64,1.61,-0.64,-2.25,-0.44,-1.31,-3.51,1.61,-3.51,-5.12,-1.61,-0.44,-2.27,1.61,-3.51,-5.12,-0.53,-0.32,-6.54,1.61,-6.54,-8.15,-6.40,-6.26,-9.11,1.61,-9.11,-10.72,-8.56,-9.66,-12.43,1.61,-12.43,-14.04,-10.55,-4.84,-11.36,1.61,-12.43,-14.04,-8.33,-4.91,-8.03,1.61,-12.43,-14.04,-5.78,-4.31,-7.62,1.61,-12.43,-14.04,-7.39,-8.17,-9.68,1.61,-12.43,-14.04,-8.65,-5.67,-8.01,1.61,-12.43,-14.04,-7.55,-3.44,-7.62,1.61,-12.43,-14.04,-6.61,-6.86,-8.92,1.61,-12.43,-14.04,-7.80
TGT,Sell,139.6,132.7810361328125,TP Hit,132.7810361328125,2026-07-23,0.57,-2.59,0.57,-2.59,-3.16,0.01,1.38,-0.07,1.38,-2.59,-3.16,0.80,1.73,-0.06,1.73,-2.59,-3.16,1.20,4.88,2.87,4.88,-2.59,-3.16,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRVL,Buy,188.68,268.44,Open,,,7.10,1.75,7.10,1.75,-5.35,3.32,11.62,7.50,11.62,1.75,-5.35,10.22,13.91,6.31,13.91,1.75,-7.60,11.82,13.72,8.66,13.91,1.75,-7.60,10.94,9.22,1.38,13.91,1.38,-12.53,2.94,5.89,-3.67,13.91,-3.67,-17.58,0.26,-3.82,-11.32,13.91,-11.32,-25.23,-7.53,-5.77,-13.66,13.91,-13.66,-27.57,-13.40,-2.29,-7.17,13.91,-13.66,-27.57,-2.85,6.72,-0.83,13.91,-13.66,-27.57,-0.59,3.05,-5.89,13.91,-13.66,-27.57,2.70,18.01,10.24,18.01,-13.66,-27.57,15.85,17.86,11.45,18.01,-13.66,-27.57,11.84,16.31,6.92,18.01,-13.66,-27.57,11.59
MRNA,Buy,61.82,79.38,Open,,,0.98,-4.08,0.98,-4.08,-5.05,-3.77,-1.60,-5.19,0.98,-5.19,-6.17,-3.49,-3.17,-6.60,0.98,-6.60,-7.58,-6.07,-5.48,-8.97,0.98,-8.97,-9.95,-7.76,-7.05,-12.89,0.98,-12.89,-13.87,-12.54,-7.68,-12.02,0.98,-12.89,-13.87,-10.01,-9.66,-13.71,0.98,-13.71,-14.69,-9.73,-9.01,-12.39,0.98,-13.71,-14.69,-11.86,-6.05,-11.81,0.98,-13.71,-14.69,-6.31,-3.77,-11.50,0.98,-13.71,-14.69,-11.32,-6.18,-14.82,0.98,-14.82,-15.80,-10.81,-5.63,-9.62,0.98,-14.82,-15.80,-7.81,-3.83,-10.09,0.98,-14.82,-15.80,-9.00,-4.56,-13.12,0.98,-14.82,-15.80,-12.88
NDAQ,Sell,91.64,80.84687860107422,Open,,,0.67,-1.40,0.67,-1.40,-2.06,-0.25,2.32,0.57,2.32,-1.40,-2.06,1.53,1.52,-0.24,2.32,-1.40,-2.56,0.81,1.68,-2.12,2.32,-2.12,-4.44,1.33,0.87,-1.41,2.32,-2.12,-4.44,-0.49,0.65,-2.83,2.32,-2.83,-5.15,-2.51,-2.05,-5.60,2.32,-5.60,-7.92,-4.71,-4.05,-5.71,2.32,-5.71,-8.03,-4.27,-1.77,-4.47,2.32,-5.71,-8.03,-3.84,-2.37,-3.85,2.32,-5.71,-8.03,-2.78,-1.79,-4.02,2.32,-5.71,-8.03,-2.73,-1.78,-3.47,2.32,-5.71,-8.03,-2.16,-2.63,-4.34,2.32,-5.71,-8.03,-3.19,-1.69,-3.81,2.32,-5.71,-8.03,-3.34
GFS,Buy,57.48,63.28,Open,,,2.64,-1.50,2.64,-1.50,-4.14,-1.17,4.23,0.59,4.23,-1.50,-4.14,3.32,3.97,0.34,4.23,-1.50,-4.14,1.76,1.86,-1.90,4.23,-1.90,-6.13,-0.99,-1.29,-7.86,4.23,-7.86,-12.09,-6.87,-5.23,-11.85,4.23,-11.85,-16.08,-7.48,-10.98,-15.31,4.23,-15.31,-19.54,-14.72,-13.07,-19.29,4.23,-19.29,-23.52,-18.11,-11.50,-15.00,4.23,-19.29,-23.52,-13.20,-7.38,-13.36,4.23,-19.29,-23.52,-13.03,-11.74,-16.49,4.23,-19.29,-23.52,-13.00,-7.48,-10.47,4.23,-19.29,-23.52,-9.50,-8.42,-16.43,4.23,-19.29,-23.52,-13.95,-9.46,-17.28,4.23,-19.29,-23.52,-12.39
WDC,Buy,477.22,618.73,Open,,,6.03,1.69,6.03,1.69,-4.34,2.14,16.01,8.34,16.01,1.69,-7.67,14.91,18.27,10.02,18.27,1.69,-8.26,16.65,20.78,16.09,20.78,1.69,-8.26,16.99,15.67,6.78,20.78,1.69,-14.00,8.92,11.33,-1.24,20.78,-1.24,-22.02,4.34,-2.09,-11.55,20.78,-11.55,-32.33,-2.87,4.60,-4.30,20.78,-11.55,-32.33,-3.18,14.64,6.24,20.78,-11.55,-32.33,11.70,21.54,11.18,21.54,-11.55,-32.33,14.17,13.04,5.04,21.54,-11.55,-32.33,10.48,17.31,12.59,21.54,-11.55,-32.33,14.95,18.32,8.60,21.54,-11.55,-32.33,8.79,0.09,-14.61,21.54,-14.61,-36.15,-5.39
MTSI,Buy,267.36,303.79,TP Hit,303.79,2026-08-06,5.05,0.53,5.05,0.53,-4.52,0.91,6.78,2.27,6.78,0.53,-4.52,5.86,7.48,2.51,7.48,0.53,-4.97,5.71,6.91,3.01,7.48,0.53,-4.97,5.78,4.17,-1.18,7.48,-1.18,-8.66,-0.14,1.69,-6.13,7.48,-6.13,-13.61,-1.60,-5.28,-8.65,7.48,-8.65,-16.13,-6.78,-4.90,-14.71,7.48,-14.71,-22.19,-14.46,-5.39,-8.91,7.48,-14.71,-22.19,-6.98,-0.04,-7.49,7.48,-14.71,-22.19,-5.95,-3.41,-10.66,7.48,-14.71,-22.19,-4.21,2.97,-0.90,7.48,-14.71,-22.19,2.23,3.76,-2.22,7.48,-14.71,-22.19,-1.46,13.63,-2.02,13.63,-14.71,-22.19,13.63
AN,Sell,205.72,184.65415698242188,Open,,,3.93,-0.29,3.93,-0.29,-4.22,3.80,6.23,2.95,6.23,-0.29,-4.22,3.52,2.30,-0.59,6.23,-0.59,-6.82,-0.12,1.59,0.07,6.23,-0.59,-6.82,0.30,-0.20,-2.69,6.23,-2.69,-8.92,-1.20,-1.82,-6.32,6.23,-6.32,-12.55,-3.15,-1.47,-7.31,6.23,-7.31,-13.54,-7.10,-5.30,-14.63,6.23,-14.63,-20.86,-11.79,-3.69,-8.42,6.23,-14.63,-20.86,-4.34,5.17,-3.79,6.23,-14.63,-20.86,-3.25,-3.45,-8.83,6.23,-14.63,-20.86,-4.72,-2.42,-5.48,6.23,-14.63,-20.86,-4.80,-3.83,-7.50,6.23,-14.63,-20.86,-4.89,-1.75,-6.13,6.23,-14.63,-20.86,-2.73
BCC,Sell,77.19,72.51686050415039,Open,,,1.83,-3.64,1.83,-3.64,-5.47,1.67,4.60,-0.83,4.60,-3.64,-5.47,3.61,2.67,-0.79,4.60,-3.64,-5.47,-0.66,2.25,-0.39,4.60,-3.64,-5.47,0.95,1.02,-2.10,4.60,-3.64,-6.70,-0.84,-0.89,-3.33,4.60,-3.64,-7.93,-1.33,-3.54,-6.05,4.60,-6.05,-10.65,-4.13,0.72,-2.69,4.60,-6.05,-10.65,-0.63,3.08,-0.64,4.60,-6.05,-10.65,2.34,2.84,0.53,4.60,-6.05,-10.65,1.05,-1.20,-7.64,4.60,-7.64,-12.24,-7.57,-6.59,-14.56,4.60,-14.56,-19.16,-12.05,-6.70,-10.93,4.60,-14.56,-19.16,-9.86,-5.78,-10.06,4.60,-14.56,-19.16,-9.16
