Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-07-24_DayMaxProfit,2026-07-24_DayMaxLoss,2026-07-24_MaxProfit,2026-07-24_MaxLoss,2026-07-24_MaxDrawdown,2026-07-24_CurrentPnL,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL,2026-08-28_DayMaxProfit,2026-08-28_DayMaxLoss,2026-08-28_MaxProfit,2026-08-28_MaxLoss,2026-08-28_MaxDrawdown,2026-08-28_CurrentPnL,2026-08-31_DayMaxProfit,2026-08-31_DayMaxLoss,2026-08-31_MaxProfit,2026-08-31_MaxLoss,2026-08-31_MaxDrawdown,2026-08-31_CurrentPnL,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL,2026-09-02_DayMaxProfit,2026-09-02_DayMaxLoss,2026-09-02_MaxProfit,2026-09-02_MaxLoss,2026-09-02_MaxDrawdown,2026-09-02_CurrentPnL,2026-09-03_DayMaxProfit,2026-09-03_DayMaxLoss,2026-09-03_MaxProfit,2026-09-03_MaxLoss,2026-09-03_MaxDrawdown,2026-09-03_CurrentPnL
NVDA,Sell,208.76,196.5937222290039,TP Hit,196.5937222290039,2026-07-27,1.89,-1.51,1.89,-1.51,-3.40,0.92,5.83,0.00,5.83,-1.51,-5.82,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,Sell,539.69,511.24639355468753,TP Hit,511.24639355468753,2026-07-27,4.02,-1.73,4.02,-1.73,-5.74,3.29,5.27,2.17,5.27,-1.73,-5.74,5.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTC,Sell,100.23,98.81468270874024,TP Hit,98.81468270874024,2026-07-24,1.41,-1.51,1.41,-1.51,-2.92,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM,Sell,80.67,76.860841796875,Open,,,0.30,-3.83,0.30,-3.83,-4.13,-2.44,-4.25,-7.95,0.30,-7.95,-8.25,-7.90,-8.11,-12.99,0.30,-12.99,-13.29,-11.94,-10.46,-13.86,0.30,-13.86,-14.16,-10.82,-7.36,-11.28,0.30,-13.86,-14.16,-9.58,-7.90,-10.46,0.30,-13.86,-14.16,-10.15,-8.21,-11.94,0.30,-13.86,-14.16,-8.69,-6.64,-9.82,0.30,-13.86,-14.16,-9.47,-9.41,-11.54,0.30,-13.86,-14.16,-10.52,-7.23,-10.70,0.30,-13.86,-14.16,-7.77,-7.02,-8.94,0.30,-13.86,-14.16,-8.57,-7.08,-10.09,0.30,-13.86,-14.16,-9.04,-8.94,-11.24,0.30,-13.86,-14.16,-10.76,-7.50,-10.47,0.30,-13.86,-14.16,-7.55,-6.89,-8.28,0.30,-13.86,-14.16,-7.09,-6.79,-8.07,0.30,-13.86,-14.16,-7.56,-4.56,-7.21,0.30,-13.86,-14.16,-4.59,-3.62,-5.19,0.30,-13.86,-14.16,-3.77,-4.28,-6.73,0.30,-13.86,-14.16,-5.32,-3.79,-7.15,0.30,-13.86,-14.16,-6.79,-6.35,-9.53,0.30,-13.86,-14.16,-9.00,-6.25,-9.42,0.30,-13.86,-14.16,-7.82,-6.16,-7.97,0.30,-13.86,-14.16,-6.37,-5.27,-7.30,0.30,-13.86,-14.16,-7.02,-6.50,-7.96,0.30,-13.86,-14.16,-6.83,-6.16,-9.42,0.30,-13.86,-14.16,-6.94,-6.61,-8.08,0.30,-13.86,-14.16,-7.62,-6.62,-8.08,0.30,-13.86,-14.16,-6.88,-5.65,-7.40,0.30,-13.86,-14.16,-6.30,-5.52,-6.95,0.30,-13.86,-14.16,-6.84
TPL,Sell,425.55,402.744,TP Hit,402.744,2026-07-27,1.53,-1.01,1.53,-1.01,-2.54,1.44,5.36,1.03,5.36,-1.01,-4.33,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FROG,Buy,81.25,90.76,TP Hit,96.255,2026-08-07,2.20,-2.25,2.20,-2.25,-4.46,-1.34,2.44,-1.32,2.44,-2.25,-4.46,-0.02,0.92,-11.21,2.44,-11.21,-13.65,-5.93,-2.50,-11.06,2.44,-11.21,-13.65,-9.82,-3.32,-9.66,2.44,-11.21,-13.65,-3.48,0.39,-4.69,2.44,-11.21,-13.65,-1.80,1.77,-2.12,2.44,-11.21,-13.65,1.42,7.03,0.94,7.03,-11.21,-13.65,6.12,9.77,3.88,9.77,-11.21,-13.65,4.02,5.21,-2.15,9.77,-11.21,-13.65,2.20,18.47,18.47,18.47,-11.21,-13.65,18.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCN,Sell,131.15,120.83370077514648,TP Hit,120.83370077514648,2026-07-27,6.44,-0.99,6.44,-0.99,-7.43,5.80,7.87,5.18,7.87,-0.99,-7.43,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTU,Sell,23.82,22.720083625793457,TP Hit,22.47,2026-07-27,4.49,0.00,4.49,0.00,-4.49,4.28,5.67,5.67,5.67,0.00,-4.49,5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARWR,Sell,86.78,74.09259869384766,Open,,,1.98,-0.83,1.98,-0.83,-2.81,1.36,1.81,-1.33,1.98,-1.33,-3.31,1.44,4.62,0.16,4.62,-1.33,-4.46,1.15,2.81,-1.28,4.62,-1.33,-5.90,0.65,1.83,-1.59,4.62,-1.59,-6.21,-0.62,2.59,-0.37,4.62,-1.59,-6.21,2.45,5.96,0.89,5.96,-1.59,-6.21,0.89,0.52,-3.33,5.96,-3.33,-9.29,-3.24,0.93,-4.64,5.96,-4.64,-10.60,-0.15,1.83,-1.19,5.96,-4.64,-10.60,1.09,0.35,-2.18,5.96,-4.64,-10.60,-1.00,0.32,-2.42,5.96,-4.64,-10.60,-1.79,-1.92,-4.83,5.96,-4.83,-10.79,-2.83,-0.44,-4.41,5.96,-4.83,-10.79,-0.54,2.33,-1.47,5.96,-4.83,-10.79,1.37,3.46,-0.45,5.96,-4.83,-10.79,0.16,0.60,-2.49,5.96,-4.83,-10.79,-2.21,0.92,-1.81,5.96,-4.83,-10.79,-1.29,-0.92,-3.71,5.96,-4.83,-10.79,-3.03,1.01,-1.92,5.96,-4.83,-10.79,-0.80,0.97,-1.94,5.96,-4.83,-10.79,-0.38,1.47,-0.27,5.96,-4.83,-10.79,0.06,-0.25,-3.95,5.96,-4.83,-10.79,-2.42,-0.02,-3.51,5.96,-4.83,-10.79,-2.70,-1.49,-3.24,5.96,-4.83,-10.79,-2.09,2.98,-1.24,5.96,-4.83,-10.79,2.15,6.95,3.49,6.95,-4.83,-10.79,6.28,6.94,4.04,6.95,-4.83,-10.79,4.79,5.41,1.51,6.95,-4.83,-10.79,5.23,3.83,1.64,6.95,-4.83,-10.79,2.36
SRRK,Buy,49.48,53.95,TP Hit,53.95,2026-08-12,0.95,-3.92,0.95,-3.92,-4.87,-3.66,1.29,-2.57,1.29,-3.92,-4.87,-1.11,0.07,-4.43,1.29,-4.43,-5.72,-0.22,1.05,-1.74,1.29,-4.43,-5.72,-0.85,1.27,-2.41,1.29,-4.43,-5.72,-0.99,-0.30,-5.17,1.29,-5.17,-6.46,-4.42,-3.99,-7.58,1.29,-7.58,-8.87,-7.34,-2.63,-6.38,1.29,-7.58,-8.87,-3.42,-0.85,-4.77,1.29,-7.58,-8.87,-3.25,8.37,-3.01,8.37,-7.58,-11.38,6.39,8.49,2.60,8.49,-7.58,-11.38,6.95,6.47,2.45,8.49,-7.58,-11.38,4.87,7.37,3.58,8.49,-7.58,-11.38,5.23,9.03,4.79,9.03,-7.58,-11.38,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
