Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-07-27_DayMaxProfit,2026-07-27_DayMaxLoss,2026-07-27_MaxProfit,2026-07-27_MaxLoss,2026-07-27_MaxDrawdown,2026-07-27_CurrentPnL,2026-07-28_DayMaxProfit,2026-07-28_DayMaxLoss,2026-07-28_MaxProfit,2026-07-28_MaxLoss,2026-07-28_MaxDrawdown,2026-07-28_CurrentPnL,2026-07-29_DayMaxProfit,2026-07-29_DayMaxLoss,2026-07-29_MaxProfit,2026-07-29_MaxLoss,2026-07-29_MaxDrawdown,2026-07-29_CurrentPnL,2026-07-30_DayMaxProfit,2026-07-30_DayMaxLoss,2026-07-30_MaxProfit,2026-07-30_MaxLoss,2026-07-30_MaxDrawdown,2026-07-30_CurrentPnL,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL
MU,Sell,920.95,876.9224445800781,TP Hit,876.9224445800781,2026-07-27,4.78,-1.53,4.78,-1.53,-6.31,4.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HON,Sell,243.15,227.04012139892578,TP Hit,226.9,2026-08-19,0.25,-2.00,0.25,-2.00,-2.25,-1.07,-1.21,-3.64,0.25,-3.64,-3.89,-1.60,1.16,-1.27,1.16,-3.64,-3.89,0.83,2.38,0.30,2.38,-3.64,-3.89,0.51,2.11,-1.17,2.38,-3.64,-3.89,0.04,0.39,-2.67,2.38,-3.64,-5.05,-1.49,-0.76,-2.92,2.38,-3.64,-5.30,-2.32,-1.48,-3.29,2.38,-3.64,-5.67,-2.04,1.32,-2.82,2.38,-3.64,-5.67,0.99,1.51,-1.47,2.38,-3.64,-5.67,-1.26,0.52,-1.27,2.38,-3.64,-5.67,0.09,5.53,-0.68,5.53,-3.64,-6.21,5.36,6.00,3.08,6.00,-3.64,-6.21,3.21,4.38,2.80,6.00,-3.64,-6.21,3.77,4.43,3.43,6.00,-3.64,-6.21,3.78,6.08,4.27,6.08,-3.64,-6.21,5.63,6.47,5.51,6.47,-3.64,-6.21,6.35,6.68,6.68,6.68,-3.64,-6.21,6.68,,,,,,,,,,,,,,,,,,
CEG,Sell,274.35,239.76518896484376,Open,,,2.41,-1.04,2.41,-1.04,-3.44,1.59,6.09,2.83,6.09,-1.04,-3.44,5.30,6.63,3.82,6.63,-1.04,-3.44,5.98,4.54,1.49,6.63,-1.04,-5.14,3.93,4.92,1.64,6.63,-1.04,-5.14,4.23,4.56,-0.12,6.63,-1.04,-6.75,0.23,3.94,-1.08,6.63,-1.08,-7.71,2.59,4.04,0.12,6.63,-1.08,-7.71,3.36,4.98,-2.06,6.63,-2.06,-8.69,4.83,4.73,1.22,6.63,-2.06,-8.69,1.63,2.18,-0.30,6.63,-2.06,-8.69,1.43,1.04,-2.19,6.63,-2.19,-8.82,-1.46,-1.31,-4.06,6.63,-4.06,-10.69,-1.58,-0.85,-3.07,6.63,-4.06,-10.69,-1.56,-2.30,-4.61,6.63,-4.61,-11.24,-2.97,0.30,-4.36,6.63,-4.61,-11.24,-1.40,3.47,-1.90,6.63,-4.61,-11.24,2.74,2.37,-0.23,6.63,-4.61,-11.24,0.07,1.20,-1.32,6.63,-4.61,-11.24,0.52,1.38,-1.04,6.63,-4.61,-11.24,0.54,1.76,-0.46,6.63,-4.61,-11.24,0.34
IFF,Buy,75.94,81.53,TP Hit,81.53,2026-08-03,2.28,0.42,2.28,0.42,-1.86,0.61,4.75,1.26,4.75,0.42,-3.49,4.36,5.02,2.32,5.02,0.42,-3.49,4.86,5.81,3.34,5.81,0.42,-3.49,4.66,5.02,2.88,5.81,0.42,-3.49,4.32,7.36,4.10,7.36,0.42,-3.49,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXON,Buy,502.34,611.95,TP Hit,617.25,2026-08-05,6.11,2.37,6.11,2.37,-3.74,4.61,9.70,3.60,9.70,2.37,-6.10,9.02,12.32,4.74,12.32,2.37,-7.58,5.75,4.72,0.08,12.32,0.08,-12.24,4.57,5.70,2.47,12.32,0.08,-12.24,5.06,14.95,8.76,14.95,0.08,-12.24,14.64,21.07,15.51,21.07,0.08,-12.24,20.87,22.87,22.87,22.87,0.08,-12.24,22.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECK,Buy,96.04,110.28,Open,,,4.12,1.73,4.12,1.73,-2.39,1.76,8.54,3.22,8.54,1.73,-5.32,8.20,9.20,5.56,9.20,1.73,-5.32,7.81,6.38,2.06,9.20,1.73,-7.14,3.80,3.84,0.81,9.20,0.81,-8.39,0.87,5.32,1.93,9.20,0.81,-8.39,3.60,5.33,3.59,9.20,0.81,-8.39,3.99,5.86,3.22,9.20,0.81,-8.39,3.40,3.92,1.77,9.20,0.81,-8.39,1.91,2.64,0.77,9.20,0.77,-8.43,1.48,2.23,-1.05,9.20,-1.05,-10.25,1.46,-0.29,-3.05,9.20,-3.05,-12.25,-2.29,-1.74,-5.16,9.20,-5.16,-14.36,-5.04,-2.45,-4.56,9.20,-5.16,-14.36,-2.85,-1.78,-3.89,9.20,-5.16,-14.36,-3.07,-3.83,-6.60,9.20,-6.60,-15.80,-6.17,-4.34,-6.85,9.20,-6.85,-16.05,-6.80,-4.00,-6.31,9.20,-6.85,-16.05,-4.65,-5.71,-8.24,9.20,-8.24,-17.44,-7.48,-4.54,-7.27,9.20,-8.24,-17.44,-4.54,-3.07,-5.44,9.20,-8.24,-17.44,-4.12
POOL,Buy,183.77,214.49,Open,,,2.91,-0.57,2.91,-0.57,-3.48,0.46,4.92,1.15,4.92,-0.57,-3.77,4.57,7.20,2.57,7.20,-0.57,-4.63,5.27,3.83,0.40,7.20,-0.57,-6.80,3.76,4.54,0.60,7.20,-0.57,-6.80,1.06,6.51,2.47,7.20,-0.57,-6.80,6.43,10.81,6.15,10.81,-0.57,-6.80,10.70,12.62,9.72,12.62,-0.57,-6.80,12.44,11.93,8.91,12.62,-0.57,-6.80,9.42,14.15,9.35,14.15,-0.57,-6.80,12.27,11.18,8.02,14.15,-0.57,-6.80,8.82,11.55,8.52,14.15,-0.57,-6.80,9.65,9.85,6.72,14.15,-0.57,-7.43,8.51,10.24,7.49,14.15,-0.57,-7.43,9.14,9.75,5.82,14.15,-0.57,-8.33,6.02,5.27,1.90,14.15,-0.57,-12.25,3.65,5.29,1.95,14.15,-0.57,-12.25,2.03,7.62,2.57,14.15,-0.57,-12.25,6.65,5.33,2.95,14.15,-0.57,-12.25,3.57,4.23,2.21,14.15,-0.57,-12.25,2.29,3.83,1.45,14.15,-0.57,-12.70,2.43
COHR,Sell,282.39,285.42691540527346,TP Hit,282.12,2026-07-27,0.10,0.10,0.10,0.10,0.00,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WH,Buy,73.53,82.79,Open,,,3.24,-0.98,3.24,-0.98,-4.22,2.24,3.06,-0.27,3.24,-0.98,-4.22,2.91,4.27,1.50,4.27,-0.98,-4.22,2.79,4.27,1.07,4.27,-0.98,-4.22,3.51,4.46,1.77,4.46,-0.98,-4.22,1.81,4.47,1.89,4.47,-0.98,-4.22,2.37,4.80,2.26,4.80,-0.98,-4.22,3.40,5.93,2.77,5.93,-0.98,-4.22,3.52,4.72,1.82,5.93,-0.98,-4.22,2.28,2.23,-0.08,5.93,-0.98,-6.01,0.38,-0.38,-3.10,5.93,-3.10,-9.03,-2.96,-0.16,-2.61,5.93,-3.10,-9.03,-1.44,1.28,-0.78,5.93,-3.10,-9.03,0.67,2.34,0.20,5.93,-3.10,-9.03,1.06,1.96,-0.09,5.93,-3.10,-9.03,0.14,-0.03,-1.54,5.93,-3.10,-9.03,-0.80,0.39,-1.89,5.93,-3.10,-9.03,-0.23,4.14,0.56,5.93,-3.10,-9.03,3.16,3.52,1.94,5.93,-3.10,-9.03,2.42,3.15,0.58,5.93,-3.10,-9.03,1.48,2.46,0.15,5.93,-3.10,-9.03,1.12
EPC,Buy,27.63,28.91,TP Hit,28.91,2026-07-28,2.46,0.36,2.46,0.36,-2.10,0.65,4.63,1.77,4.63,0.36,-2.86,4.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
