Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-07-31_DayMaxProfit,2026-07-31_DayMaxLoss,2026-07-31_MaxProfit,2026-07-31_MaxLoss,2026-07-31_MaxDrawdown,2026-07-31_CurrentPnL,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL,2026-08-28_DayMaxProfit,2026-08-28_DayMaxLoss,2026-08-28_MaxProfit,2026-08-28_MaxLoss,2026-08-28_MaxDrawdown,2026-08-28_CurrentPnL,2026-08-31_DayMaxProfit,2026-08-31_DayMaxLoss,2026-08-31_MaxProfit,2026-08-31_MaxLoss,2026-08-31_MaxDrawdown,2026-08-31_CurrentPnL,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL,2026-09-02_DayMaxProfit,2026-09-02_DayMaxLoss,2026-09-02_MaxProfit,2026-09-02_MaxLoss,2026-09-02_MaxDrawdown,2026-09-02_CurrentPnL,2026-09-03_DayMaxProfit,2026-09-03_DayMaxLoss,2026-09-03_MaxProfit,2026-09-03_MaxLoss,2026-09-03_MaxDrawdown,2026-09-03_CurrentPnL
ADBE,Sell,247.9,242.46320111083983,TP Hit,242.46320111083983,2026-07-31,2.19,-1.13,2.19,-1.13,-3.33,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANET,Buy,171.02,174.21,TP Hit,177.6,2026-07-31,3.85,3.85,3.85,3.85,0.00,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUM,Buy,366.66,401.34,TP Hit,401.34,2026-08-26,1.50,-1.04,1.50,-1.04,-2.53,-0.76,2.14,-1.61,2.14,-1.61,-3.75,2.14,2.18,-1.77,2.18,-1.77,-3.95,-1.23,0.34,-3.54,2.18,-3.54,-5.72,-0.77,0.91,-2.99,2.18,-3.54,-5.72,0.16,5.18,-0.79,5.18,-3.54,-5.97,5.00,7.31,4.75,7.31,-3.54,-5.97,5.19,6.24,1.45,7.31,-3.54,-5.97,1.68,6.22,1.01,7.31,-3.54,-6.30,6.05,7.07,4.32,7.31,-3.54,-6.30,4.99,6.28,3.66,7.31,-3.54,-6.30,6.11,5.57,3.91,7.31,-3.54,-6.30,4.81,7.06,4.10,7.31,-3.54,-6.30,4.18,5.71,1.32,7.31,-3.54,-6.30,3.10,5.76,2.08,7.31,-3.54,-6.30,3.84,5.81,3.26,7.31,-3.54,-6.30,3.33,6.32,3.44,7.31,-3.54,-6.30,5.44,6.37,3.90,7.31,-3.54,-6.30,6.29,9.46,5.42,9.46,-3.54,-6.30,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUBS,Sell,233.1,198.80452423095704,TP Hit,193.19,2026-08-06,5.83,-2.14,5.83,-2.14,-7.97,-1.83,-2.45,-9.00,5.83,-9.00,-14.83,-2.93,1.04,-6.92,5.83,-9.00,-14.83,-6.77,-2.57,-10.67,5.83,-10.67,-16.50,-7.34,17.12,17.12,17.12,-10.67,-16.50,17.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTC,Sell,64.25,57.801680725097654,Open,,,1.63,-2.80,1.63,-2.80,-4.44,-2.40,-4.28,-8.64,1.63,-8.64,-10.27,-6.99,-4.37,-11.21,1.63,-11.21,-12.84,-10.60,-8.16,-13.35,1.63,-13.35,-14.98,-8.51,-3.46,-9.20,1.63,-13.35,-14.98,-8.87,-10.83,-17.48,1.63,-17.48,-19.11,-16.90,-14.85,-19.97,1.63,-19.97,-21.60,-18.79,-17.21,-20.42,1.63,-20.42,-22.05,-18.83,-16.17,-20.42,1.63,-20.42,-22.05,-20.09,-20.65,-34.94,1.63,-34.94,-36.57,-33.90,-30.44,-36.36,1.63,-36.36,-37.99,-34.91,-27.91,-34.42,1.63,-36.36,-37.99,-29.87,-29.96,-34.77,1.63,-36.36,-37.99,-32.31,-31.52,-36.90,1.63,-36.90,-38.53,-35.94,-32.72,-37.29,1.63,-37.29,-38.92,-33.70,-29.98,-34.23,1.63,-37.29,-38.92,-33.76,-29.11,-33.95,1.63,-37.29,-38.92,-29.56,-23.64,-29.68,1.63,-37.29,-38.92,-25.14,-22.63,-25.93,1.63,-37.29,-38.92,-23.35,-27.63,-33.51,1.63,-37.29,-38.92,-30.33,-50.69,-68.09,1.63,-68.09,-69.72,-55.50,-48.42,-59.40,1.63,-68.09,-69.72,-50.29,-44.01,-50.96,1.63,-68.09,-69.72,-45.98,-40.48,-45.50,1.63,-68.09,-69.72,-42.04,-43.69,-48.31,1.63,-68.09,-69.72,-46.35
EPAM,Sell,103.66,97.77172256469727,TP Hit,87.35,2026-08-06,2.87,-2.62,2.87,-2.62,-5.50,-1.83,0.23,-5.24,2.87,-5.24,-8.11,-3.47,-0.81,-9.00,2.87,-9.00,-11.87,-8.10,-4.72,-9.01,2.87,-9.01,-11.88,-5.99,15.73,15.73,15.73,-9.01,-11.88,15.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CART,Sell,44.75,43.29887890625,Open,,,2.16,0.09,2.16,0.09,-2.07,0.34,-0.12,-2.57,2.16,-2.57,-4.73,-1.43,-1.41,-3.52,2.16,-3.52,-5.68,-2.01,-0.42,-3.89,2.16,-3.89,-6.05,-1.34,0.34,-3.60,2.16,-3.89,-6.05,-0.63,-3.58,-14.10,2.16,-14.10,-16.26,-12.11,-10.01,-13.85,2.16,-14.10,-16.26,-12.98,-6.17,-11.73,2.16,-14.10,-16.26,-10.37,-7.04,-9.50,2.16,-14.10,-16.26,-8.27,-6.86,-12.01,2.16,-14.10,-16.26,-11.91,-7.60,-11.64,2.16,-14.10,-16.26,-9.23,-6.46,-10.00,2.16,-14.10,-16.26,-9.18,-8.65,-12.68,2.16,-14.10,-16.26,-9.34,-8.60,-13.90,2.16,-14.10,-16.26,-13.23,-11.78,-15.79,2.16,-15.79,-17.95,-14.12,-10.91,-14.19,2.16,-15.79,-17.95,-11.35,-9.88,-16.00,2.16,-16.00,-18.16,-15.71,-14.39,-16.31,2.16,-16.31,-18.47,-15.11,-13.36,-16.25,2.16,-16.31,-18.47,-13.45,-11.49,-13.56,2.16,-16.31,-18.47,-12.80,-12.47,-13.97,2.16,-16.31,-18.47,-12.94,-11.97,-13.79,2.16,-16.31,-18.47,-12.98,-9.70,-13.28,2.16,-16.31,-18.47,-11.80,-11.44,-13.77,2.16,-16.31,-18.47,-12.27,-14.26,-17.70,2.16,-17.70,-19.86,-14.46
PSN,Buy,43.17,51.27,Open,,,5.33,-1.91,5.33,-1.91,-7.24,2.41,10.98,4.24,10.98,-1.91,-7.24,10.28,13.50,9.86,13.50,-1.91,-7.24,12.56,13.78,7.32,13.78,-1.91,-7.24,10.68,14.25,9.50,14.25,-1.91,-7.24,10.98,13.02,8.41,14.25,-1.91,-7.24,10.15,9.73,6.37,14.25,-1.91,-7.88,6.86,12.32,8.99,14.25,-1.91,-7.88,11.77,11.91,8.71,14.25,-1.91,-7.88,11.84,13.39,7.91,14.25,-1.91,-7.88,10.24,11.35,8.59,14.25,-1.91,-7.88,10.96,10.83,5.73,14.25,-1.91,-8.52,6.00,8.18,5.88,14.25,-1.91,-8.52,7.60,10.31,7.81,14.25,-1.91,-8.52,9.15,9.28,4.67,14.25,-1.91,-9.58,6.69,13.76,9.74,14.25,-1.91,-9.58,13.62,15.58,11.74,15.58,-1.91,-9.58,13.06,13.35,10.66,15.58,-1.91,-9.58,11.28,14.78,12.11,15.58,-1.91,-9.58,12.67,15.38,12.67,15.58,-1.91,-9.58,14.15,15.24,11.93,15.58,-1.91,-9.58,13.50,13.89,11.54,15.58,-1.91,-9.58,12.95,12.93,8.52,15.58,-1.91,-9.58,8.52,7.66,5.14,15.58,-1.91,-10.44,5.72,8.84,4.59,15.58,-1.91,-10.99,5.00
MKTX,Sell,162.76,112.53071920776367,Open,,,0.47,-0.12,0.47,-0.12,-0.59,0.28,0.34,0.01,0.47,-0.12,-0.59,0.29,0.34,0.17,0.47,-0.12,-0.59,0.25,0.28,0.12,0.47,-0.12,-0.59,0.22,0.22,0.03,0.47,-0.12,-0.59,0.09,0.20,0.00,0.47,-0.12,-0.59,0.14,0.17,0.03,0.47,-0.12,-0.59,0.16,0.16,0.06,0.47,-0.12,-0.59,0.14,0.15,0.05,0.47,-0.12,-0.59,0.10,0.12,0.03,0.47,-0.12,-0.59,0.10,0.12,0.04,0.47,-0.12,-0.59,0.12,0.14,0.04,0.47,-0.12,-0.59,0.12,0.22,0.03,0.47,-0.12,-0.59,0.12,0.63,0.38,0.63,-0.12,-0.59,0.63,0.63,0.49,0.63,-0.12,-0.59,0.53,0.55,0.33,0.63,-0.12,-0.59,0.40,0.42,0.06,0.63,-0.12,-0.59,0.18,0.25,0.06,0.63,-0.12,-0.59,0.16,0.17,0.03,0.63,-0.12,-0.60,0.15,0.18,0.07,0.63,-0.12,-0.60,0.18,0.15,-0.02,0.63,-0.12,-0.65,0.02,0.10,-0.05,0.63,-0.12,-0.68,-0.05,0.06,-0.04,0.63,-0.12,-0.68,-0.01,0.06,-0.01,0.63,-0.12,-0.68,0.01,-0.02,-0.29,0.63,-0.29,-0.92,-0.26
ACHC,Buy,28.14,33.55,Open,,,5.47,0.21,5.47,0.21,-5.26,5.26,10.87,4.83,10.87,0.21,-6.04,8.71,12.83,7.82,12.83,0.21,-6.04,12.54,17.09,11.73,17.09,0.21,-6.04,14.57,14.32,8.03,17.09,0.21,-9.06,9.17,12.40,7.60,17.09,0.21,-9.49,12.05,14.57,11.09,17.09,0.21,-9.49,12.94,14.96,9.88,17.09,0.21,-9.49,10.52,14.25,9.17,17.09,0.21,-9.49,12.65,13.54,6.97,17.09,0.21,-10.12,7.46,10.66,5.93,17.09,0.21,-11.16,9.56,9.49,5.40,17.09,0.21,-11.69,6.61,7.43,-2.52,17.09,-2.52,-19.61,-2.42,3.94,-3.66,17.09,-3.66,-20.75,-2.77,-1.14,-5.01,17.09,-5.01,-22.10,-4.16,-1.07,-5.40,17.09,-5.40,-22.49,-1.14,2.88,-1.39,17.09,-5.40,-22.49,2.06,6.33,1.56,17.09,-5.40,-22.49,6.15,16.81,6.65,17.09,-5.40,-22.49,8.67,8.56,4.44,17.09,-5.40,-22.49,7.39,7.85,0.89,17.09,-5.40,-22.49,1.46,1.40,-1.60,17.09,-5.40,-22.49,-1.28,2.06,-1.74,17.09,-5.40,-22.49,1.56,1.60,-0.11,17.09,-5.40,-22.49,0.82,-0.46,-2.86,17.09,-5.40,-22.49,-1.60
