Symbol,Buy/Sell,CBT,Target Price,Status,ExitPrice,ExitDate,2026-08-03_DayMaxProfit,2026-08-03_DayMaxLoss,2026-08-03_MaxProfit,2026-08-03_MaxLoss,2026-08-03_MaxDrawdown,2026-08-03_CurrentPnL,2026-08-04_DayMaxProfit,2026-08-04_DayMaxLoss,2026-08-04_MaxProfit,2026-08-04_MaxLoss,2026-08-04_MaxDrawdown,2026-08-04_CurrentPnL,2026-08-05_DayMaxProfit,2026-08-05_DayMaxLoss,2026-08-05_MaxProfit,2026-08-05_MaxLoss,2026-08-05_MaxDrawdown,2026-08-05_CurrentPnL,2026-08-06_DayMaxProfit,2026-08-06_DayMaxLoss,2026-08-06_MaxProfit,2026-08-06_MaxLoss,2026-08-06_MaxDrawdown,2026-08-06_CurrentPnL,2026-08-07_DayMaxProfit,2026-08-07_DayMaxLoss,2026-08-07_MaxProfit,2026-08-07_MaxLoss,2026-08-07_MaxDrawdown,2026-08-07_CurrentPnL,2026-08-10_DayMaxProfit,2026-08-10_DayMaxLoss,2026-08-10_MaxProfit,2026-08-10_MaxLoss,2026-08-10_MaxDrawdown,2026-08-10_CurrentPnL,2026-08-11_DayMaxProfit,2026-08-11_DayMaxLoss,2026-08-11_MaxProfit,2026-08-11_MaxLoss,2026-08-11_MaxDrawdown,2026-08-11_CurrentPnL,2026-08-12_DayMaxProfit,2026-08-12_DayMaxLoss,2026-08-12_MaxProfit,2026-08-12_MaxLoss,2026-08-12_MaxDrawdown,2026-08-12_CurrentPnL,2026-08-13_DayMaxProfit,2026-08-13_DayMaxLoss,2026-08-13_MaxProfit,2026-08-13_MaxLoss,2026-08-13_MaxDrawdown,2026-08-13_CurrentPnL,2026-08-14_DayMaxProfit,2026-08-14_DayMaxLoss,2026-08-14_MaxProfit,2026-08-14_MaxLoss,2026-08-14_MaxDrawdown,2026-08-14_CurrentPnL,2026-08-17_DayMaxProfit,2026-08-17_DayMaxLoss,2026-08-17_MaxProfit,2026-08-17_MaxLoss,2026-08-17_MaxDrawdown,2026-08-17_CurrentPnL,2026-08-18_DayMaxProfit,2026-08-18_DayMaxLoss,2026-08-18_MaxProfit,2026-08-18_MaxLoss,2026-08-18_MaxDrawdown,2026-08-18_CurrentPnL,2026-08-19_DayMaxProfit,2026-08-19_DayMaxLoss,2026-08-19_MaxProfit,2026-08-19_MaxLoss,2026-08-19_MaxDrawdown,2026-08-19_CurrentPnL,2026-08-20_DayMaxProfit,2026-08-20_DayMaxLoss,2026-08-20_MaxProfit,2026-08-20_MaxLoss,2026-08-20_MaxDrawdown,2026-08-20_CurrentPnL,2026-08-21_DayMaxProfit,2026-08-21_DayMaxLoss,2026-08-21_MaxProfit,2026-08-21_MaxLoss,2026-08-21_MaxDrawdown,2026-08-21_CurrentPnL,2026-08-24_DayMaxProfit,2026-08-24_DayMaxLoss,2026-08-24_MaxProfit,2026-08-24_MaxLoss,2026-08-24_MaxDrawdown,2026-08-24_CurrentPnL,2026-08-25_DayMaxProfit,2026-08-25_DayMaxLoss,2026-08-25_MaxProfit,2026-08-25_MaxLoss,2026-08-25_MaxDrawdown,2026-08-25_CurrentPnL,2026-08-26_DayMaxProfit,2026-08-26_DayMaxLoss,2026-08-26_MaxProfit,2026-08-26_MaxLoss,2026-08-26_MaxDrawdown,2026-08-26_CurrentPnL,2026-08-27_DayMaxProfit,2026-08-27_DayMaxLoss,2026-08-27_MaxProfit,2026-08-27_MaxLoss,2026-08-27_MaxDrawdown,2026-08-27_CurrentPnL,2026-08-28_DayMaxProfit,2026-08-28_DayMaxLoss,2026-08-28_MaxProfit,2026-08-28_MaxLoss,2026-08-28_MaxDrawdown,2026-08-28_CurrentPnL,2026-08-31_DayMaxProfit,2026-08-31_DayMaxLoss,2026-08-31_MaxProfit,2026-08-31_MaxLoss,2026-08-31_MaxDrawdown,2026-08-31_CurrentPnL,2026-09-01_DayMaxProfit,2026-09-01_DayMaxLoss,2026-09-01_MaxProfit,2026-09-01_MaxLoss,2026-09-01_MaxDrawdown,2026-09-01_CurrentPnL,2026-09-02_DayMaxProfit,2026-09-02_DayMaxLoss,2026-09-02_MaxProfit,2026-09-02_MaxLoss,2026-09-02_MaxDrawdown,2026-09-02_CurrentPnL
CMG,Sell,37.59,33.7589596862793,TP Hit,33.7589596862793,2026-08-06,1.92,-2.02,1.92,-2.02,-3.94,0.35,10.11,-0.16,10.11,-2.02,-10.27,10.03,9.50,6.28,10.11,-2.02,-10.27,8.22,10.19,9.12,10.19,-2.02,-10.27,10.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHX,Buy,277.77,296.01,Open,,,1.34,-1.10,1.34,-1.10,-2.44,0.03,3.10,-0.36,3.10,-1.10,-3.46,2.71,4.58,2.38,4.58,-1.10,-3.46,3.01,4.90,3.28,4.90,-1.10,-3.46,4.23,4.10,2.29,4.90,-1.10,-3.46,3.20,5.89,3.76,5.89,-1.10,-3.46,4.30,4.70,2.84,5.89,-1.10,-3.46,2.97,4.68,1.52,5.89,-1.10,-4.37,4.67,5.05,3.07,5.89,-1.10,-4.37,3.85,5.48,3.97,5.89,-1.10,-4.37,5.06,2.94,-0.00,5.89,-1.10,-5.89,0.22,2.24,0.57,5.89,-1.10,-5.89,0.64,1.16,-0.51,5.89,-1.10,-6.40,-0.24,-0.41,-2.94,5.89,-2.94,-8.83,-2.64,-2.17,-4.08,5.89,-4.08,-9.97,-3.97,-4.32,-5.84,5.89,-5.84,-11.73,-5.38,-5.02,-6.06,5.89,-6.06,-11.95,-5.62,-4.65,-6.92,5.89,-6.92,-12.81,-5.33,-5.16,-6.54,5.89,-6.92,-12.81,-5.68,-4.55,-5.88,5.89,-6.92,-12.81,-5.38,-3.57,-5.91,5.89,-6.92,-12.81,-3.78,-2.98,-5.31,5.89,-6.92,-12.81,-5.29,-4.06,-6.35,5.89,-6.92,-12.81,-5.64
PWR,Sell,672.83,577.9489226074219,Open,,,2.76,-1.45,2.76,-1.45,-4.21,-1.10,-1.02,-5.24,2.76,-5.24,-8.00,-3.00,-1.26,-4.76,2.76,-5.24,-8.00,-1.51,1.09,-2.93,2.76,-5.24,-8.00,0.74,2.28,-2.39,2.76,-5.24,-8.00,0.14,2.11,-1.44,2.76,-5.24,-8.00,1.78,1.36,-1.07,2.76,-5.24,-8.00,0.33,-0.69,-3.37,2.76,-5.24,-8.00,-0.77,0.18,-1.79,2.76,-5.24,-8.00,0.01,0.11,-2.86,2.76,-5.24,-8.00,-1.92,-2.63,-7.70,2.76,-7.70,-10.46,-7.35,-2.31,-5.82,2.76,-7.70,-10.46,-3.47,2.07,-4.94,2.76,-7.70,-10.46,-0.68,1.82,-0.95,2.76,-7.70,-10.46,1.54,5.54,0.87,5.54,-7.70,-10.46,4.98,9.34,5.27,9.34,-7.70,-10.46,8.33,10.77,5.76,10.77,-7.70,-10.46,10.26,10.21,7.82,10.77,-7.70,-10.46,8.34,8.25,5.85,10.77,-7.70,-10.46,7.58,10.60,7.47,10.77,-7.70,-10.46,10.42,10.70,9.51,10.77,-7.70,-10.46,9.53,11.76,9.22,11.76,-7.70,-10.46,9.50,11.13,9.02,11.76,-7.70,-10.46,10.19
TSCO,Buy,30.55,31.46,TP Hit,31.46,2026-08-03,2.98,2.95,2.98,2.95,-0.03,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC,Sell,555.17,452.76402880859376,TP Hit,428.89,2026-08-06,9.71,2.84,9.71,2.84,-6.87,5.03,3.22,-0.84,9.71,-0.84,-10.55,1.19,6.64,-1.71,9.71,-1.71,-11.42,6.48,22.75,22.75,22.75,-1.71,-11.42,22.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMC,Buy,78.71,85.21,TP Hit,85.21,2026-08-07,4.93,0.42,4.93,0.42,-4.51,0.71,4.21,0.13,4.93,0.13,-4.80,3.94,6.00,3.05,6.00,0.13,-4.80,3.81,7.36,3.99,7.36,0.13,-4.80,4.83,8.26,4.52,8.26,0.13,-4.80,8.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWD,Buy,362.93,372.33,TP Hit,372.33,2026-08-04,1.28,-1.01,1.28,-1.01,-2.29,0.18,2.59,-0.77,2.59,-1.01,-3.36,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRW,Buy,148.4,178.42,Open,,,0.97,-2.38,0.97,-2.38,-3.35,-0.94,4.59,-0.80,4.59,-2.38,-5.39,4.28,6.25,3.00,6.25,-2.38,-5.39,3.50,3.72,-1.31,6.25,-2.38,-7.56,-1.17,1.75,-1.85,6.25,-2.38,-8.10,0.64,2.10,-0.24,6.25,-2.38,-8.10,-0.07,-0.20,-3.52,6.25,-3.52,-9.77,-2.22,-0.10,-2.35,6.25,-3.52,-9.77,-1.15,1.62,-1.75,6.25,-3.52,-9.77,0.64,1.27,-0.30,6.25,-3.52,-9.77,0.11,1.32,-3.44,6.25,-3.52,-9.77,-2.44,-0.77,-3.28,6.25,-3.52,-9.77,-2.51,-0.61,-2.92,6.25,-3.52,-9.77,-2.61,-1.95,-3.53,6.25,-3.53,-9.78,-3.08,-2.12,-4.82,6.25,-4.82,-11.07,-4.56,-3.11,-4.60,6.25,-4.82,-11.07,-3.73,-2.14,-4.00,6.25,-4.82,-11.07,-3.19,3.27,-3.13,6.25,-4.82,-11.07,2.24,3.15,0.75,6.25,-4.82,-11.07,1.85,3.06,0.88,6.25,-4.82,-11.07,1.34,2.08,0.31,6.25,-4.82,-11.07,1.46,1.81,0.51,6.25,-4.82,-11.07,0.58,-0.24,-2.29,6.25,-4.82,-11.07,-1.23
OSK,Buy,143.82,153.36,TP Hit,153.36,2026-08-04,3.26,-0.56,3.26,-0.56,-3.82,3.16,6.63,3.57,6.63,-0.56,-3.82,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCN,Buy,161.79,169.97,Open,,,1.37,-2.95,1.37,-2.95,-4.32,-2.10,-1.85,-4.02,1.37,-4.02,-5.39,-2.79,-2.05,-5.38,1.37,-5.38,-6.75,-5.33,-3.76,-7.77,1.37,-7.77,-9.14,-6.75,-4.67,-7.58,1.37,-7.77,-9.14,-6.40,-6.18,-7.66,1.37,-7.77,-9.14,-6.75,-4.73,-7.71,1.37,-7.77,-9.14,-5.54,-5.56,-7.73,1.37,-7.77,-9.14,-5.63,-4.42,-7.35,1.37,-7.77,-9.14,-5.18,-4.89,-7.05,1.37,-7.77,-9.14,-6.14,-5.72,-7.78,1.37,-7.78,-9.15,-7.40,-4.67,-6.85,1.37,-7.78,-9.15,-6.39,-3.44,-7.13,1.37,-7.78,-9.15,-4.96,-3.18,-5.56,1.37,-7.78,-9.15,-5.13,-3.70,-6.43,1.37,-7.78,-9.15,-3.74,-2.82,-4.13,1.37,-7.78,-9.15,-3.88,-4.29,-6.40,1.37,-7.78,-9.15,-6.25,-5.28,-7.27,1.37,-7.78,-9.15,-6.10,-5.25,-6.93,1.37,-7.78,-9.15,-6.06,-4.53,-6.40,1.37,-7.78,-9.15,-4.98,-5.43,-6.39,1.37,-7.78,-9.15,-6.28,-5.01,-6.75,1.37,-7.78,-9.15,-6.55,-6.48,-7.92,1.37,-7.92,-9.29,-6.98
